stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,6.29,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,2,6,0,0,0
 24-34,0,0,1.64,0.82,1.64,0,0,0.82,2.46,0,0,0,0,0,0.82,10.67,0.82,0,3.28,31.19,0,1.64,5.75,0,0,0,0,0.82,9.85,0,0,0
 36-46,0,0,0.81,0,7.25,0,0,0,1.61,0,0,0.81,0.81,0,0,5.64,0,0,1.61,39.48,0,4.83,1.61,0,0,1.61,0,0,7.25,0,0,0
 48-58,0,0,1.72,0,8.61,0.57,0,0,5.16,0,0.57,0,2.3,0,0,13.2,0,0,2.87,26.4,0,6.31,5.16,0,0,0,0,0,6.89,0,0,0
 60-70,0,0,0,0,10.8,0,0,0,11.78,0,0,0,5.89,0,0,13.74,0,0.98,1.96,24.54,0,9.82,13.74,0,0,0.98,0,0,3.93,0.98,1.96,0.98
 72-82,0,0,0.98,1.96,14.72,0,0,0,38.28,0,0,0.98,17.67,0,0,30.43,0,0.98,1.96,24.54,0,21.6,30.43,0,0.98,1.96,0,0,0.98,0.98,0.98,0.98
 84-94,0,0,1.06,0,7.43,1.06,0,1.06,33.99,0,0,0,20.18,0,0,12.74,0,0,3.19,16.99,0,18.05,58.41,0,0,3.19,0,0,4.25,2.12,0,0
 96-106,0,0,4.37,1.09,10.93,0,0,0,51.36,0,1.09,0,52.46,1.09,1.09,8.74,0,0,1.09,16.39,0,42.62,71.04,0,0,1.09,0,0,0,0,0,0
108-118,0,0,2.3,1.53,4.6,0,0,0,56.68,0.77,0,0,26.81,0,0,7.66,0,0,2.3,8.43,0.77,32.94,52.85,0,0,0.77,0,0,0.77,0,2.3,0
120,0,0,1.96,3.92,9.8,0,1.96,0,60.75,0,0,3.92,33.32,0,0,9.8,0,0,1.96,25.48,0,31.36,48.99,0,0,3.92,0,0,1.96,1.96,1.96,0
