stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0.82,0,0.82,1.64,0.82,0,50.89,0.82,0.82,0,0,19.7,0,2.46,0,0
 36-46,0,6.45,0,0,0,0,0,0,0,0,4.03,0,0.81,137.77,0.81,0,0,0.81,26.59,0,0,0,0
 48-58,0,17.21,0.57,0.57,5.16,0,0,0,0,0,9.18,0,1.15,108.45,0,0,0,0,23.53,0,0.57,0,0
 60-70,0.98,43.19,0,0,3.93,0.98,0,0,0,0.98,17.67,0,0,96.19,0.98,0.98,0,0,21.59,1.96,1.96,0,0
 72-82,0.98,32.39,0,1.96,3.93,0,0,0,0,0,15.71,0,0.98,105.04,0,0,0,0,7.85,0.98,1.96,1.96,0.98
 84-94,1.06,33.99,1.06,2.12,3.19,0,1.06,0,0,0,13.81,1.06,5.31,62.66,0,0,1.06,0,7.43,0,1.06,0,0
 96-106,1.09,21.86,0,1.09,4.37,0,0,0,0,0,7.65,0,1.09,51.36,1.09,0,0,0,3.28,0,4.37,0,0
108-118,0,28.34,0,0,3.06,0,0,0.77,0.77,0,16.09,0,1.53,52.85,0,0,0,0,1.53,1.53,3.06,0,0
120,0,23.52,0,0,3.92,0,0,0,0,0,9.8,0,1.96,35.28,0,0,0,0,7.84,0,0,1.96,0
