stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,10.51,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0,0,0,220.81,5.26,0,0,86.75,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,18.88,0,0,0,0,9.44,0,0,0,0,0,0,0,0,179.38,3.15,0,0,84.97,0,0,6.29,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,7,2,5,0,0,2,2,0,0,0,1,0,0,0,4,7,51,0,0,0,2,0,4,0,14,0,18,17,0,1,0,0
 24-34,0,0,0,1.64,0,10.67,0.82,0,0,0,0,0,0,0.82,0,0.82,0,2.46,4.1,46.79,0,0,0,0,0,4.1,0,0,0,0.82,9.03,0,0,0,0
 36-46,0,0,0,0,0.81,20.14,0,0,0.81,0,0,0,0,0,0,0.81,0,4.03,2.42,27.39,0,0,0,0,0,3.22,0,0,0,0,4.83,0,0.81,0,0
 48-58,0,0,0,0,0,8.03,0,0,0.57,0,0,0,0,0,0,0,0.57,4.02,0.57,9.18,0,0,0,0,0,1.15,0,0,0,0,0.57,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,12.76,0,0,2.94,0,0,0,0,0,0,0,0,2.94,0,14.72,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,13.74,0,0,5.89,0,0,0,0.98,0,0,0,0,2.94,0,10.8,0,0.98,0,0,0,0.98,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,8.5,0,0,0,0,0,0,0,0,1.06,1.06,0,6.37,2.12,8.5,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,2.19,0,1.09,3.28,0,0,1.09,1.09,0,0,0,0,3.28,1.09,5.46,0,0,1.09,0,1.09,2.19,0,0,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0,0.77,0.77,2.3,0.77,0,2.3,0,0,0,0,0,0,0,0,2.3,2.3,13.79,0,0,1.53,0,0,1.53,0,0,0.77,0,0,0,0.77,0,0
120,0,0,0,1.96,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,9.8,0,7.84,1.96,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0
