stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0
  5-6,36.78,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,337.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,5.26,49.95,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,6.29,15.73,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,1,0,0,5,0,0,0,0,1,1,0,2,0,0,0,0,64,2,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0.82,0,0.82,0,0,33.66,0,0,0,0,0.82,6.57,0,16.42,0,3.28,0,0,208.5,0,4.1,0,0,0,0,0
 36-46,0,0,0,0,0,4.03,0,0,1.61,0.81,0,6.45,0,1.61,0,0.81,0.81,4.03,0.81,20.14,0,4.03,0,0,167.58,0,2.42,0,0,0.81,0,0.81
 48-58,0,0,2.87,0,0,6.89,1.15,0.57,0.57,0,0,4.59,0,1.15,0,0,4.02,5.74,0.57,8.03,0,3.44,0,0,113.04,0,2.87,0,0,0,0,0
 60-70,0,0,2.94,0,0.98,5.89,2.94,1.96,0,0,0,9.82,0.98,0.98,0,0,1.96,8.83,0,3.93,0,0,0,0,94.23,0,0,1.96,0,0,0,0.98
 72-82,0,0,8.83,0.98,0,2.94,0,0,2.94,0,0.98,12.76,1.96,3.93,0.98,0,0.98,5.89,0,10.8,0,2.94,0,0,88.35,0,1.96,4.91,0,0.98,0.98,0
 84-94,0,0,22.3,0,0,0,3.19,1.06,3.19,1.06,0,28.68,2.12,3.19,1.06,0,5.31,10.62,0,0,0,6.37,0,0,269.76,0,0,6.37,0,0,0,0
 96-106,0,0,53.55,0,0,0,3.28,3.28,12.02,0,0,31.69,0,2.19,0,0,3.28,16.39,1.09,7.65,1.09,14.21,1.09,0,209.83,0,0,17.49,0,0,0,0
108-118,0,0,23.74,0,0.77,1.53,2.3,0.77,10.72,0,1.53,39.06,3.06,1.53,0.77,0,2.3,11.49,0,8.43,0,10.72,0,0,161.62,0,1.53,25.28,2.3,0,0,0
120,0,0,29.4,0,0,1.96,1.96,0,5.88,0,0,17.64,0,7.84,0,0,0,5.88,0,7.84,0,5.88,0,0,74.47,0,0,13.72,1.96,0,0,0
