stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,40.91,0,0,3.15,0,0,0
 14-21,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,1,3,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,0,0,0.82,0.82
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,0,2.42,0,0,0,0,0.81,0
 48-58,0,0,0,0,12.05,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,45.15,0.98,0,0,0.98,0,0,3.93,0,0,0,0,0,0
 72-82,0,0.98,0,0,71.66,0,4.91,0,1.96,0,0.98,6.87,0,0,0,0,0,0
 84-94,0,0,1.06,0,39.3,0,0,0,2.12,0,0,6.37,0,0,0,0,0,0
 96-106,0,0,0,1.09,38.25,0,0,2.19,2.19,0,0,3.28,0,1.09,0,0,0,1.09
108-118,0,0,0,0,27.57,0,1.53,0,0,0,0,5.36,0,0,0,0,0,0
120,0,0,0,0,13.72,0,1.96,0,0,1.96,0,11.76,0,0,0,0,0,0
