stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,iridophores,mesenchyme,mural.cell,muscle,neural,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,1.64,0,1.64,15.6,0,0.82,0,5.75,0,0,0
 36-46,0,0,1.61,0,0.81,0,0,0,1.61,0,0,8.86,0,0,0,3.22,0,0,0
 48-58,0.57,0,2.87,0,0,0,0,0.57,0.57,0,0.57,14.35,0,0.57,0,2.3,0,0,0
 60-70,3.93,0,5.89,0.98,1.96,0,0,0,3.93,0,0,18.65,0,0,0.98,1.96,0,0,0
 72-82,0.98,0,6.87,0,0.98,0,0,0,0,0,0,18.65,0,0,0,1.96,0.98,0,0
 84-94,1.06,1.06,5.31,1.06,1.06,1.06,0,1.06,7.43,0,1.06,6.37,0,0,0,1.06,1.06,0,0
 96-106,0,0,2.19,0,1.09,0,0,0,5.46,0,0,6.56,0,0,0,0,0,0,0
108-118,0,0,3.83,0,0,0.77,0,0,1.53,0.77,0.77,6.89,0.77,0,0,0,0.77,0,0
120,0,0,3.92,0,3.92,0,0,0,5.88,0,3.92,25.48,0,0,0,3.92,0,1.96,1.96
