stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,39.53,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,15.77,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,15.73,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,4,0,0,2,15,0,0,0,0,0,0,1,0,2,3,0,0,0
 24-34,0,0,0,0,2.46,0,0,0.82,0,0,0.82,1.64,0,1.64,0,0,0,0,11.49,0,0,1.64,27.09,0.82,0,0,0,1.64,0,0,0,0.82,4.1,0,0.82,0
 36-46,0,0,0,0,0,0,0,19.34,0.81,0,0.81,0.81,0,0.81,0,0,0,0,18.53,0,0,4.83,14.5,0.81,0,0,0,0.81,0,0,0,0,4.83,0,0.81,0
 48-58,0,0,0,0,0,0,0,23.53,0.57,0,0,1.15,0,0.57,0,0,5.16,0,27.54,0,0,0.57,9.18,0.57,0,0,0,0,0,0,0,0,3.44,0,0.57,0
 60-70,0,0,0,0,0,0,0,12.76,0,0.98,0.98,0.98,0,0,0,0,8.83,0,38.28,0,0,3.93,10.8,0,0,0,0,0,0,0,0,0,4.91,0.98,0,0
 72-82,0,0,0,0,0,0,0,7.85,0.98,0,2.94,0.98,0,0,0.98,0,35.34,0,40.25,0,0,6.87,8.83,0,1.96,0,0,0,0,0,0,0,4.91,1.96,2.94,0
 84-94,0,0,0,0,3.19,0,0,1.06,0,0,2.12,0,2.12,0,0,0,120.01,0,30.8,0,1.06,4.25,8.5,1.06,0,1.06,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,1.09,1.09,0,7.65,1.09,0,2.19,0,1.09,0,0,0,181.41,0,43.71,0,1.09,6.56,18.58,0,0,0,0,2.19,0,0,0,0,0,2.19,0,3.28
108-118,0,0,0,0,0.77,0,0.77,2.3,0.77,0,3.06,1.53,0,0,0,0.77,389.11,0.77,39.83,0.77,0,7.66,13.02,1.53,0,1.53,0,1.53,0,0,1.53,0,0,1.53,0.77,0
120,0,0,0,0,3.92,1.96,0,3.92,1.96,0,0,0,0,0,0,0,119.55,0,19.6,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0
