stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,47.32,0,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,15,0,1,1,0,0,0,1,0,0,5,5,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0.82,1.64,0,0,0,4.1,0,0,0,18.88,0,0.82,0,0,3.28,0,0,1.64,0,0,4.1,0,0.82,0
 36-46,0,0,0,0,0.81,0,4.03,0,0,2.42,0.81,0,3.22,0,0,0,0,2.42,0,0,2.42,37.06,0,0.81,0,0,0.81,0,0,0.81,0,0,4.03,0,0,0
 48-58,0,0,0,0,0,0.57,11.48,0.57,0,5.16,0,0,0,0,0,0,0,3.44,0,0,0.57,36.72,0,1.15,0,0,1.15,0,0,0,0,0,7.46,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,16.69,0,0,12.76,0.98,0,9.82,0.98,0,0,0,6.87,0.98,0,0.98,51.04,0,0.98,0,0,3.93,0,0,0.98,0,0,4.91,0,1.96,0
 72-82,0,0,0,0,0,0,16.69,0,0.98,32.39,2.94,0,2.94,0,0,0,0.98,7.85,0,0.98,0.98,45.16,0,0.98,0.98,0,2.94,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,0,0,0,9.56,0,0,28.68,1.06,0,4.25,0,0,0,0,4.25,1.06,0,1.06,21.24,0,2.12,0,0,2.12,0,0,2.12,0,0,2.12,1.06,1.06,0
 96-106,0,0,0,0,1.09,0,9.84,0,0,26.23,5.46,0,14.21,1.09,1.09,0,0,6.56,0,0,0,15.3,0,2.19,3.28,0,2.19,0,0,0,0,0,1.09,0,3.28,1.09
108-118,0,0,0,0,0.77,0,1.53,0.77,0,21.45,3.06,0,6.89,3.06,0,1.53,0,3.83,0,0,0.77,17.62,0.77,0,0,0,3.06,0,0,1.53,0.77,0,0,0,0.77,0
120,0,0,1.96,1.96,1.96,0,5.88,0,0,31.36,9.8,0,21.56,3.92,1.96,0,0,5.88,0,0,1.96,23.52,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
