stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,1,0,1,1,6,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,2.46,0,0,0,0,1.64,0,0,8.21,9.03,0,0,1.64,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0.81,0,0,4.03,11.28,0,0,0.81,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,0,0.57,1.15,0.57,0,0,0.57,2.3,0,0.57,3.44,10.33,0,0,0,0,2.87,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,1.96,14.72,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,1.96,0,0,2.94,1.96,0,0,0,0,1.96,0,0,5.89,24.54,0,0.98,0,0,0,0.98,0,5.89,0.98,0
 84-94,0,3.19,2.12,0,1.06,0,0,1.06,4.25,0,1.06,0,0,2.12,0,0,3.19,86.03,0,2.12,8.5,0,0,0,0,3.19,0,0
 96-106,0,1.09,1.09,0,0,0,1.09,3.28,5.46,0,0,0,0,5.46,2.19,0,4.37,122.4,0,0,4.37,0,0,0,2.19,2.19,0,1.09
108-118,0,4.6,0.77,0,1.53,0.77,0.77,0.77,3.83,0,0,0.77,0.77,4.6,0,0,1.53,84.26,0,1.53,4.6,0,0,0,0,4.6,0.77,0
120,0,1.96,1.96,0,0,0,0,1.96,1.96,0,1.96,0,0,1.96,0,1.96,1.96,47.03,0,0,0,0,0,0,0,3.92,1.96,0
