stage,blastomeres,erythrocytes,eye,hatching.gland,lateral.line,mesenchyme,neural,olfactory,otic,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0,1.15,1.72,0,0,1.15
 60-70,0,0,1.96,0,0,0.98,0.98,0.98,0,0
 72-82,0,0,0,0,0,1.96,0.98,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,3.28,0,1.09,1.09,4.37,0,1.09,0
108-118,0,0.77,0,0,0,0,0,0,0,0
