stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,75.52,0,0,0,0.82,0,0,34.48,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,177.25,0,0,0,0,0,0,48.34,0,0,0,0,0
 48-58,0,0.57,0,0,12.62,0,0,0.57,2.3,0,0,0,0,0,0,0,0,2.87,0,1.15,300.67,0,0.57,0.57,0,0,0,49.35,0,0,0.57,0,0.57
 60-70,0,1.96,0,0,94.23,0,0,0.98,10.8,0,0,0,0,0,0,0,0,1.96,0,0.98,624.25,0,0,0,0.98,0,0.98,61.84,0,0.98,0,0,0
 72-82,0,8.83,1.96,0,447.64,0.98,0.98,1.96,36.32,1.96,0,0,0,0,0,0,0.98,14.72,0,0,948.29,0,0.98,0,0,0,0,56.94,0,0,0.98,0,0
 84-94,0,5.31,2.12,0,357.91,0,2.12,0,28.68,0,1.06,0,0,0,0,0,0,7.43,0,0,565,0,1.06,1.06,2.12,0,0,40.36,0,2.12,2.12,1.06,0
 96-106,0,7.65,3.28,1.09,428.4,0,2.19,0,21.86,0,0,3.28,0,1.09,1.09,0,0,16.39,1.09,1.09,583.58,1.09,1.09,3.28,4.37,1.09,0,27.32,2.19,0,0,1.09,1.09
108-118,0,5.36,0,0.77,322.47,0,0.77,1.53,29.11,0.77,0,0.77,1.53,0.77,0,1.53,0,9.96,0,0.77,539.24,0.77,0.77,0.77,3.83,0,0,16.09,1.53,0,0,0.77,0.77
120,0,5.88,1.96,0,299.85,0,0,1.96,35.28,0,0,1.96,0,0,0,0,0,0,1.96,3.92,778.03,0,0,3.92,3.92,0,0,37.24,0,0,3.92,0,1.96
