stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,spinal.cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
 24-34,0.82,2.46,0,0,0,0,0,0,0,3.28,0,0,10.67,0.82,2.46,0.82,0
 36-46,0,1.61,0,0,0,1.61,0,0,0,6.45,0,0,7.25,0,0.81,0,0
 48-58,0,2.3,0,1.15,0,0,0,0,0,6.89,0,0,2.87,0,0,0,0
 60-70,0.98,0,0.98,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0
 72-82,0.98,0.98,0,0,0.98,2.94,0,0,0,4.91,0,0,0.98,0,0,0,0
 84-94,1.06,1.06,0,0,0,1.06,0,0,0,6.37,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,5.46,0,0,1.09,0,0,0,0
108-118,0,0.77,0,0,0,1.53,0,0,0,3.06,0.77,0,0.77,0,0,0,0.77
120,1.96,1.96,0,0,0,3.92,0,0,0,3.92,0,0,1.96,1.96,0,1.96,0
