stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,31.54,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,2,0,0,1,1,0,0,0,0,0,0,0,5,0,3,24,0,1,0,0,2,2,0,2,11,0,0,0,0
 24-34,0,0.82,0.82,0,13.95,0,0,1.64,0,0,0,0.82,0,0,0,0.82,9.03,0,1.64,121.49,0,0.82,1.64,0,0.82,0,0,0,25.45,0,2.46,0,0
 36-46,0,0,0,0,14.5,0,0,4.83,0,0,0.81,0,0.81,0.81,0.81,0,5.64,0,3.22,74.12,0,0,0.81,0,1.61,0,0,0,8.86,0,0.81,0,0
 48-58,0,0,0,0,24.67,0.57,1.15,9.75,0,0,0,0,0,0.57,0,0,14.35,0,2.3,60.82,0,0.57,1.72,0,2.87,0,0,0,16.07,0,1.72,0,0.57
 60-70,0,0,0.98,0,23.56,0,0,7.85,0,0,0,0,0,0.98,0,0,7.85,0,2.94,37.3,0.98,0.98,0.98,0,1.96,0,0,0,4.91,0.98,0.98,0,0
 72-82,0,0,0,0,8.83,0,0.98,4.91,0,0,0,0,0,0,0,0,9.82,1.96,0.98,20.61,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,2.12,0,0,2.12,0,0,0,0,0,0,0,0,5.31,0,2.12,8.5,1.06,0,0,0,1.06,0,0,0,2.12,0,1.06,0,0
 96-106,0,0,1.09,0,2.19,1.09,1.09,8.74,0,0,0,0,0,0,0,0,5.46,0,1.09,9.84,0,0,0,0,2.19,0,1.09,0,0,0,2.19,0,0
108-118,0,0,0.77,0,3.06,0,0,2.3,0.77,0,1.53,0,0.77,0,0,0,2.3,0,0.77,6.13,0,0.77,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,1.96,5.88,0,0,3.92,3.92,0,0,1.96,0,0,0,0,1.96,3.92,0,11.76,0,1.96,1.96,0,5.88,0,0,0,1.96,0,0,0,0
