stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,29,5,0,18,0,0,0,1,1,0,0,0,0,0,0,0,1,18,0,7,183,3,0,3,3,0,2,17,0,1,14,51,0,1,0,0
 24-34,0,2.46,0,0,25.45,0,0,0,4.1,0,0.82,0,0,1.64,0,0,0.82,0,22.16,0,3.28,250.36,0.82,1.64,4.1,0,0,0.82,0,0,0,4.1,51.71,0,2.46,0,0
 36-46,0,0.81,0,0,49.95,0,0,0.81,5.64,0,0,0,0.81,0,0,0,0.81,0,16.11,0.81,2.42,170,0,0.81,1.61,0,0,1.61,0,0,0,0,33.84,0,4.03,0,0
 48-58,0,1.15,0.57,0,64.84,0,0,0.57,12.62,0,0,1.15,0,0,0,0,0.57,0,24.1,3.44,4.59,125.09,1.15,2.3,0,0,0,0,0,0,0,0,24.67,0,1.72,0,0.57
 60-70,0,0.98,0,0,57.91,0,0,0,8.83,0,0,0.98,0,0,0,0,0,0,23.56,0.98,0,113.86,0.98,0,0,0,0.98,0,0,0,0,0,17.67,0,0.98,0,0.98
 72-82,0,0,1.96,0,43.19,0.98,0.98,0.98,13.74,0,0,1.96,0.98,0,1.96,1.96,0.98,0,31.41,0,0.98,99.15,0,0.98,0,0,0,2.94,0,0,0,0,7.85,0.98,0,0,0
 84-94,0,5.31,0,0,7.43,0,1.06,0,5.31,0,0,0,3.19,0,0,0,0,0,6.37,1.06,1.06,23.36,0,0,1.06,0,0,3.19,0,0,0,0,0,0,0,1.06,0
 96-106,0,2.19,0,0,13.11,0,2.19,1.09,3.28,0,0,0,1.09,0,1.09,0,0,0,9.84,0,3.28,28.41,1.09,2.19,1.09,0,0,1.09,0,1.09,0,0,1.09,0,4.37,0,0
108-118,0,3.83,0.77,0.77,12.26,0,1.53,0.77,6.13,0.77,0,0,0.77,0.77,0,0,0,0,10.72,0,2.3,31.4,0,0,0.77,0,0,2.3,0,0,0,0,0.77,0,2.3,0.77,0
120,0,3.92,0,0,7.84,0,0,0,11.76,0,0,0,1.96,1.96,0,0,0,0,9.8,0,5.88,41.16,0,1.96,1.96,0,0,3.92,0,0,0,0,1.96,0,5.88,0,0
