stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,12.59,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,1,6,38,5,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,2,85,0,0,4,0,0,0,1,0,0,0,25,0,0,13,0,0
 24-34,0,0,2.46,4.1,4.1,0,0,0,0,0,0,3.28,0,0,0,9.03,0,11.49,0,0,0.82,360.36,0,0,26.27,0,0,0.82,0,0.82,0,0.82,75.52,0,0,27.09,0,0.82
 36-46,0,0,1.61,0.81,6.45,1.61,0,0,4.83,0,0,4.03,0,0,0,8.06,0,8.86,0,0.81,3.22,799.22,1.61,0,9.67,0,0,2.42,0,0.81,0,0,79.76,0,0,10.47,0,0.81
 48-58,0,0,6.31,0,61.97,0,2.3,1.15,27.54,0,0,4.02,0.57,0,0,6.31,0,17.21,0,0.57,4.59,1248.6,0.57,0.57,18.94,0,0,1.15,0,0.57,0,0,66.56,0,0,11.48,0,1.15
 60-70,0,0,3.93,0,85.39,1.96,0.98,0,29.45,0,0,7.85,0,0,0,4.91,0.98,28.46,0,3.93,1.96,1614.6,0,0,14.72,0,0,2.94,0,0,0,0,65.76,0.98,0.98,14.72,0.98,0.98
 72-82,0,0,9.82,3.93,173.75,0,0.98,0,29.45,1.96,0,5.89,0,0.98,0,2.94,0.98,53.01,0,4.91,5.89,1289.9,0.98,0,12.76,0,1.96,0.98,0,0,0.98,0,40.25,1.96,0,22.58,2.94,1.96
 84-94,0,0,14.87,1.06,145.5,1.06,0,0,38.23,1.06,0,6.37,2.12,1.06,1.06,3.19,1.06,36.11,1.06,2.12,1.06,707.32,0,0,15.93,0,0,2.12,0,2.12,2.12,0,32.92,3.19,2.12,20.18,0,3.19
 96-106,0,0,18.58,3.28,98.36,1.09,4.37,1.09,16.39,1.09,0,5.46,0,0,0,2.19,0,41.53,0,3.28,3.28,523.47,1.09,0,18.58,0,1.09,5.46,0,0,0,0,13.11,2.19,1.09,17.49,0,1.09
108-118,0,0,6.89,3.06,45.96,0,0.77,0,8.43,1.53,0,7.66,0,0,0,1.53,1.53,23.74,0,0,3.83,647.24,0.77,0.77,16.09,0,0,0,0,0,0,0,9.96,2.3,2.3,16.85,0.77,0.77
120,0,0,23.52,0,76.43,1.96,0,1.96,23.52,0,0,5.88,0,0,0,0,0,31.36,0,5.88,3.92,715.32,0,1.96,15.68,0,0,0,0,0,0,0,9.8,0,0,5.88,0,0
