stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,10.51,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,9.44,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,20,265,89,0,307,0,0,0,9,9,26,1,1,4,1,0,1,3,93,1,0,92,1232,58,2,21,31,103,4,149,20,22,415,330,0,0,3,0,6
 24-34,0,0,0,4.1,24.63,9.85,0,113.28,0.82,1.64,0,3.28,0.82,0,1.64,3.28,12.31,0,0,1.64,4.93,39.4,3.28,0,13.13,324.24,2.46,3.28,2.46,0,9.03,0,0,0.82,0,20.52,77.98,0,0,13.13,0,4.93
 36-46,0,0,0,0,20.14,2.42,0,49.95,0,0.81,0.81,7.25,0.81,0,0,0.81,4.03,0.81,0,1.61,0.81,41.89,0,1.61,9.67,239.28,5.64,1.61,2.42,0,5.64,0.81,0,0,0.81,0.81,43.51,0,0,11.28,0,0.81
 48-58,0,0,0,0,11.48,0.57,0,55.66,3.44,0.57,1.72,9.18,2.3,0.57,1.72,0,2.3,0,0,0.57,1.72,33.28,0.57,0,9.75,216.32,6.31,0.57,1.72,0,3.44,0.57,0,0,1.72,0,35,0,0,20.08,0,1.72
 60-70,0.98,0,0,0,6.87,0,0,60.85,0,0,0.98,12.76,0,0,0.98,3.93,0,1.96,1.96,0,0.98,19.63,0,0,2.94,106.99,3.93,0.98,1.96,0,1.96,0,0,0,0,0,13.74,0.98,0,2.94,0,0
 72-82,0,0,0,0,11.78,0.98,0.98,53.99,0,0,0.98,13.74,0.98,0,0,4.91,0.98,0,0,0.98,0,38.28,0.98,0.98,5.89,96.2,0.98,2.94,0.98,0,2.94,0,0,0,1.96,0,5.89,0,0,10.8,0,0.98
 84-94,0,0,1.06,0,5.31,0,0,18.05,0,3.19,1.06,10.62,4.25,0,0,7.43,0,3.19,0,2.12,1.06,21.24,0,3.19,2.12,52.04,1.06,0,2.12,0,3.19,0,0,1.06,0,0,2.12,0,0,3.19,1.06,0
 96-106,1.09,0,0,0,14.21,3.28,1.09,24.04,0,2.19,2.19,7.65,1.09,0,0,3.28,1.09,0,0,2.19,1.09,18.58,0,1.09,1.09,59.01,1.09,2.19,3.28,0,2.19,0,0,0,1.09,0,1.09,0,1.09,3.28,3.28,0
108-118,0,0,0,0,9.96,0,2.3,26.81,0.77,1.53,1.53,8.43,1.53,0,0,4.6,0,6.13,0.77,0,0.77,19.92,0,1.53,1.53,55.15,0,0.77,3.06,0,1.53,0,0,0,2.3,0,2.3,0.77,0,1.53,2.3,0.77
120,0,0,0,0,15.68,1.96,0,43.12,0,1.96,1.96,7.84,0,0,0,0,0,0,0,1.96,0,17.64,0,1.96,0,139.14,3.92,1.96,7.84,0,1.96,0,0,0,0,0,9.8,0,0,1.96,7.84,0
