stage,epidermis,eye,hatching.gland,heart,immune,mesenchyme,mural.cell,neural,olfactory,vascular.smooth.muscle,vasculature
 10-12,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,1.64,0,0,0
 36-46,0,0,0,0.81,6.45,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,9.75,0,0,0.57,0,0,0
 60-70,0,0,0,0,6.87,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,10.8,0,0,0,0.98,0,0.98
 84-94,1.06,1.06,0,0,26.55,0,0,0,0,1.06,2.12
 96-106,0,0,0,0,28.41,1.09,0,1.09,0,0,1.09
108-118,0,0.77,0,0,25.28,0,0,0,0,0,0
120,0,0,0,0,27.44,1.96,1.96,1.96,0,0,0
