stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,3,0,2,4,0,0,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,4.93,0.82,0,0.82,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0.81,0,0.81,0,0,0.81,0,0,0.81,0,0,0,0,0.81,0.81,0,0,0.81,0,0,0,8.86,0,0.81,0,1.61,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0.57,0,0,3.44,0.57,0,0.57,0.57,0,0.57,0,0.57,2.3,0,0,1.72,0.57,0,0.57,8.03,0.57,0,0,2.3,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,4.91,0,0,0,1.96,0,0,0,0,0.98,0,0,3.93,0,0,0,7.85,0,0,0,3.93,0,0,0.98,0,1.96,0,0.98,0.98,0,0
 72-82,2.94,0.98,1.96,0,0,7.85,0,0,0.98,3.93,0.98,0,0.98,0.98,3.93,0,0,26.5,3.93,0.98,1.96,10.8,0,0,0,4.91,0,0,0.98,0,2.94,0,0.98,0.98,2.94,0
 84-94,3.19,0,1.06,0,0,2.12,0,0,0,1.06,0,1.06,0,1.06,1.06,0,0,8.5,0,2.12,3.19,9.56,0,0,3.19,8.5,0,0,2.12,0,1.06,0,0,0,0,0
 96-106,1.09,0,2.19,0,0,5.46,0,0,0,4.37,2.19,0,2.19,4.37,2.19,0,0,16.39,2.19,0,0,14.21,0,0,3.28,4.37,0,0,1.09,0,2.19,0,0,2.19,0,0
108-118,0.77,0,3.83,0.77,0.77,3.83,0.77,1.53,0.77,3.83,3.83,0,1.53,1.53,3.06,2.3,0.77,9.96,0,0.77,0,7.66,0.77,0.77,5.36,6.13,0,0,1.53,0,1.53,0.77,0.77,1.53,1.53,0.77
120,0,0,5.88,0,0,1.96,0,0,0,1.96,0,0,0,0,5.88,0,0,5.88,1.96,0,0,7.84,1.96,0,5.88,7.84,0,0,0,0,0,0,0,0,1.96,0
