stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,ionocyte,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,13.18,105.42,0,0,0,0,0,0,144.96,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,104.2,0,0,0
  7-9,0,2.63,2.63,0,0,0,2.63,0,5.26,0,0,0
 10-12,0,0,3.15,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,2.19,0,2.19,0
108-118,0,0,0,0,1.53,0,0.77,0,2.3,0,0,0
120,0,0,0,1.96,0,1.96,0,0,5.88,0,0,0
