stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,4.1,2.46,0,0,0,0.82,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,151.86,0,0,0.82,0,0,0,0,47.61,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,6.45,0,0.81,0,5.64,0,0,0,0,0,0,0,0.81,0,0,0,403.64,0.81,0,1.61,0,0,0,0,87.82,0,0,0,0,0.81
 48-58,0,0,2.3,0,2.3,0,0,26.4,0,1.15,0.57,14.92,0,0,0,0.57,0,0,1.72,6.89,0.57,0,1.15,623.15,0.57,0.57,0,0,0,0,0,88.94,0,0,0.57,0,0
 60-70,0,0,0.98,0,1.96,0,0,120.73,0,0.98,0,43.19,0.98,0,0,0.98,0,0,6.87,20.61,0.98,0,1.96,1303.46,0,0,0,0,0,0.98,0,77.54,0,0,0,0,0.98
 72-82,0,0,2.94,0,7.85,0.98,0,172.77,0,0,0,71.66,0.98,0,0,0.98,0.98,0.98,1.96,19.63,0,0,0.98,1586.37,0,1.96,0.98,0,0,0.98,0,57.92,0,1.96,0.98,1.96,2.94
 84-94,0,0,1.06,0,9.56,1.06,0,163.55,1.06,0,0,47.79,4.25,0,1.06,1.06,1.06,0,5.31,25.49,0,3.19,2.12,829.45,0,0,0,0,0,1.06,0,45.67,1.06,1.06,1.06,2.12,2.12
 96-106,0,0,5.46,0,12.02,2.19,0,140.98,1.09,1.09,1.09,45.9,4.37,0,0,1.09,1.09,1.09,0,19.67,0,1.09,2.19,783.57,0,1.09,1.09,0,0,7.65,0,24.04,1.09,0,0,2.19,1.09
108-118,0,0,2.3,0,6.13,0.77,0.77,101.87,0,0,0.77,36,3.06,2.3,0,0.77,0,0.77,0.77,15.32,0,0,2.3,784.35,0,0.77,0,0,0.77,3.06,0,15.32,0,0,0,0.77,0.77
120,0,0,3.92,0,15.68,3.92,1.96,90.15,3.92,1.96,1.96,50.95,3.92,1.96,0,0,0,0,1.96,11.76,0,1.96,0,858.39,0,3.92,1.96,0,0,1.96,0,15.68,0,0,3.92,0,3.92
