stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,24.52,318.74,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,7.89,0,5.26,0,7.89,0,0,0,107.78,5.26,0,39.43,0,0,0,0,0,0
 10-12,0,0,3.15,0,18.88,0,0,0,0,0,100.7,0,0,25.18,0,0,0,3.15,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,1,2,1,0
 24-34,0,0,0,0,2.46,0,0,0,0.82,0,3.28,0,0.82,0,0,0,0,0.82,0.82,0.82
 36-46,0,0,0,0,2.42,0,0,0,2.42,0,8.06,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,0.57,2.3,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,2.19,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
