stage,endoderm,epidermis,erythrocytes,eye,gut,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
 14-21,1,5,1,0,0,0,0,3,1,1,0,2,4,1
 24-34,0,0,0,0.82,0.82,0,0,3.28,0,0,0,0,0.82,0.82
 36-46,0,0,0,0.81,0,0.81,0,1.61,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0.98,0,0.98,0,1.96,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,2.12,0,0,0
 96-106,0,1.09,0,0,0,0,1.09,0,1.09,0,2.19,0,0,0
108-118,0,0.77,0,0,0,0.77,0,0.77,0,0,3.06,0,0,0
120,0,3.92,0,0,0,0,1.96,0,0,0,3.92,0,0,0
