stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,26.29,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,2,1,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0.82,4.93,0,0,33.66,0,0,0,0,4.1,0,2.46,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0.81,0,2.42,0,0,0,0,0,5.64,0,0.81,51.56,0,0.81,0,0,1.61,0,4.03,0,0,0.81
 48-58,0,0,0,0,1.15,0,4.02,0,0,0,1.72,0,0,0,0,0,13.2,0,0,56.23,0,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,0,0,5.89,0,0,0.98,0.98,0,0,0,0,0,20.61,0,0,67.73,0,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0,0.98,0,0,0,10.8,0,0,0,4.91,0,0.98,0,0,0,45.16,0.98,0,80.5,0,1.96,0,0,0.98,0,0.98,0,0,0
 84-94,0,0,0,0,1.06,1.06,26.55,0,0,0,2.12,0,0,0,0,1.06,33.99,0,0,57.35,0,1.06,0,0,0,0,2.12,0,0,0
 96-106,0,0,4.37,0,5.46,1.09,15.3,1.09,0,0,4.37,0,0,0,0,0,41.53,0,0,56.83,0,4.37,0,0,0,0,0,0,0,0
108-118,0,0,3.83,0,0,0,13.79,0,0,0,5.36,0,0,0.77,1.53,0,54.38,0,0,59.75,0,0.77,0,0,0,0,0,0.77,0.77,0
120,0,0,3.92,0,1.96,0,9.8,0,0,0,3.92,0,0,0,0,0,52.91,0,0,82.31,0,0,0,0,0,0,0,1.96,0,0
