stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,34,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,1,0,0,1,1,0,0,0,0
 24-34,0,0,0,109.17,0,2.46,0,29.55,0,0,0,0,0,0,0.82,0,2.46,0,0,0,27.09,0,0.82,0.82,0,0,0,0.82,0,0.82,2.46,0,0,0,0
 36-46,0,0,0,64.45,0,3.22,0,67.68,0,0.81,0,0,0,0,0,0.81,10.47,1.61,0.81,0.81,20.95,0.81,0,0,0,0.81,0,0.81,0,0.81,5.64,0,0,0,0
 48-58,0,0,0,84.92,0,9.18,0,77.46,2.87,1.72,0,0,0,0,0,0,30.99,0.57,0.57,3.44,21.8,0,0,0.57,0,0.57,0,0,0.57,0,1.15,0,0,0,1.72
 60-70,0,0,0,62.82,0,6.87,0,50.06,1.96,0.98,0,0,0,0,0,0.98,44.17,1.96,0,8.83,12.76,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,106.02,0,6.87,0,49.08,9.82,1.96,0,0,0.98,0.98,2.94,0.98,110.93,1.96,1.96,24.54,14.72,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98,2.94
 84-94,0,0,0,236.83,1.06,3.19,0,66.91,6.37,3.19,0,1.06,0,0,0,0,73.28,1.06,1.06,12.74,4.25,0,0,0,0,2.12,0,0,0,0,1.06,1.06,1.06,0,4.25
 96-106,0,0,0,127.86,2.19,5.46,1.09,45.9,4.37,1.09,2.19,0,0,1.09,2.19,0,90.71,0,0,12.02,13.11,0,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,8.74
108-118,0,0,0,136.34,0.77,6.89,0,59.75,6.13,0.77,0.77,0,0,0.77,0.77,0,88.09,0.77,0,16.85,12.26,0,0,0,0,0,0,0,0,0,0.77,0,0,0,14.55
120,0,0,0,70.55,0,5.88,0,19.6,11.76,1.96,0,0,0,0,0,0,86.23,1.96,1.96,7.84,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88
