stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0.82,0,3.28,0,0,0,0,0,78.8,0,0,2.46,0,0,9.85,0,0,0.82,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,41.89,0,0,0.81,0,0,7.25,0,0,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,15.49,0,0,1.72,1.72,0,2.87,0,0,0.57,0,0,0,0
 60-70,0,0,1.96,0.98,2.94,0,0,0,0,26.5,0,0,4.91,5.89,0.98,3.93,0,0,1.96,0,0.98,0,0.98
 72-82,0,0,8.83,1.96,9.82,0.98,0,0,0.98,26.5,2.94,0,23.56,3.93,0,4.91,0,0,17.67,0,0,0.98,6.87
 84-94,0,0,5.31,1.06,4.25,1.06,0,0,0,26.55,2.12,0,5.31,8.5,0,6.37,0,0,13.81,0,0,2.12,1.06
 96-106,0,0,32.79,3.28,2.19,1.09,0,1.09,6.56,32.79,2.19,2.19,6.56,6.56,0,4.37,1.09,0,6.56,0,0,0,13.11
108-118,0,0,17.62,0.77,0.77,0.77,0.77,0,2.3,19.92,5.36,0,4.6,6.13,0,8.43,0.77,0,9.19,0,0,0.77,8.43
120,0,0,13.72,1.96,1.96,0,0,0,0,45.08,1.96,0,7.84,7.84,0,7.84,0,0,7.84,1.96,0,0,9.8
