stage,epidermis,eye,glial,hatching_gland,immune,mesenchyme,neural,paraxial_mesoderm,periderm,somites,spinal_cord
  7-9,0,0,0,2.63,0,0,10.51,2.63,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,1
 24-34,0,0,0,0,0,0,2.46,0,0,0,2.46
 36-46,0,0.81,1.61,0,0,0,4.03,0,0,0,0.81
 48-58,0,0.57,0,0,0,0.57,5.16,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,0.98
 72-82,0,2.94,1.96,0,3.93,2.94,0,0,0,0,0
 84-94,0,2.12,2.12,0,3.19,1.06,1.06,0,0,0,0
 96-106,0,5.46,1.09,0,3.28,2.19,2.19,0,1.09,0,0
108-118,0.77,3.06,0,0,2.3,0.77,0.77,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0
