stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,6,0,0,0,1,0,0,2,0,296,349,4,0,0,0,0
 24-34,0,0,2.46,0,0,4.93,48.43,0.82,0,0.82,0,0.82,0.82,0,3.28,0.82,0,0,5.75,0,0,29.55,36.94,0,0.82,0,0,0,2.46,0,0,156.78,173.2,9.03,0,1.64,0,0
 36-46,0,0,1.61,0,0,10.47,74.12,0,1.61,2.42,0,0,0,0,1.61,0,0,0.81,7.25,0,0,26.59,36.26,0,0.81,0,0,0,1.61,0.81,0,103.93,8.86,5.64,0,1.61,0,1.61
 48-58,0,0,2.3,0,0,16.07,61.4,0.57,1.72,2.3,0,0,0,0.57,1.15,0.57,0,0.57,9.18,0,0,53.94,40.74,0.57,0.57,0,0,0,1.15,0,0,77.46,0.57,5.16,0,0,0,0.57
 60-70,0,0,0,0,0,17.67,60.85,0,0,0.98,0,0,0,0,0.98,0,0,0,9.82,0,0,42.21,27.48,0.98,0,0,0.98,0,0.98,0,0.98,59.87,0,2.94,0,0,0,0.98
 72-82,0,0,1.96,0.98,0,14.72,61.84,0,0.98,4.91,0,0,0,1.96,0,0,0,0,14.72,0,0,59.88,20.61,0,0,0,0.98,0,0,0,0,30.43,0,1.96,0.98,0.98,0.98,0
 84-94,0,0,2.12,2.12,0,12.74,61.6,1.06,0,1.06,0,0,0,2.12,0,2.12,0,0,9.56,0,0,49.92,16.99,1.06,1.06,0,0,0,2.12,0,1.06,42.48,0,3.19,0,0,1.06,0
 96-106,0,0,0,4.37,3.28,17.49,91.8,0,0,2.19,2.19,0,1.09,5.46,2.19,0,1.09,2.19,8.74,1.09,2.19,50.27,19.67,2.19,1.09,1.09,1.09,1.09,4.37,0,0,51.36,0,0,0,1.09,0,1.09
108-118,0,0,0.77,1.53,5.36,13.02,98.81,0,0,0.77,0,0,0,0.77,0,0.77,0.77,0.77,7.66,0,0,65.11,19.15,0,0,1.53,0,0,0.77,0,0,38.3,0,0.77,0.77,0.77,0,0
120,0,0,0,1.96,0,11.76,74.47,0,0,1.96,1.96,0,0,3.92,0,0,0,1.96,5.88,0,0,78.39,17.64,0,0,0,0,0,7.84,0,0,23.52,0,0,0,0,0,0
