stage,blastomeres,epidermis,eye,hatching.gland,mesenchyme,muscle,neural,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,18.4,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0
 14-21,0,1,2,0,0,2,1,0,2,0,0
 24-34,0,0,0,0,0.82,0,2.46,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,1.15,0,0,0,2.3,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0
108-118,0,0,0.77,0,0.77,0,0.77,0,0,0,0
