stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,52.71,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,55.17,686.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,12.26,0,0,0,0,0,0
  7-9,7.89,7.89,26.29,0,0,60.46,0,0,0,15.77,0,0,0,0,0,0,0,0,470.54,13.14,0,0,176.12,0,2.63,0,0,0,0,0,0
 10-12,0,15.73,31.47,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0,0,440.58,3.15,0,0,141.61,0,0,3.15,28.32,0,0,3.15,0
 14-21,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,1,0,0,2,0,1,1,7,1
 24-34,0,0,0,0.82,0,4.1,0,0.82,0,0,0.82,0,0,0.82,4.93,0,0,0.82,22.98,0,0.82,0.82,0,0,2.46,0,0,0,0.82,8.21,0.82
 36-46,0,0,0,1.61,0.81,3.22,0,0,0,0,0,0.81,0,0,0.81,0,0,2.42,23.36,0.81,0,0.81,0,0,0,0,0,0,0,7.25,0.81
 48-58,0,0,0,1.72,0,8.61,0.57,0.57,1.15,0,0,0,0,0.57,4.02,0,0,0,16.07,0,0,0,0,0,0.57,0,0,0,0,2.87,0
 60-70,0,0,0,2.94,2.94,2.94,0,0,0.98,0,0,0,0.98,0,0.98,0,1.96,0,21.59,0,0.98,0,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,5.89,1.96,0,2.94,0,0,0,0,0,0,2.94,0.98,0,0.98,8.83,0,0.98,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,3.19,0,0,0,0,0,0,0,0,5.31,0,0,1.06,4.25,0,0,0,0,1.06,1.06,0,0,0,0,2.12,0
 96-106,0,0,0,1.09,1.09,2.19,0,0,0,0,0,0,0,0,1.09,0,0,0,2.19,0,0,0,0,0,1.09,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,3.06,1.53,0.77,0.77,0.77,0,0,0.77,0,0,0.77,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96
