stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,26.29,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,8,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,1,0,0,42,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,2.46,0,0,0,20.52,0.82,0,0,0,0,0,0,0.82,0,4.93,0,0,2.46,206.03,0.82,0.82,0,0,3.28,0,0.82,0,166.63,0,0,1.64,0,0.82
 36-46,0,0,0,0,0.81,0,2.42,0.81,0,0,12.09,0,0,0,0.81,0,0,0,0,0.81,2.42,0,0,0.81,422.98,0,2.42,0.81,0,0.81,0,4.03,0,181.28,0,0,0,0,0
 48-58,0,0.57,0,1.15,0,0,36.15,0,0,0,15.49,0,0,0,0,0,0,0.57,0,1.15,6.89,0,0,0.57,463.06,0.57,1.72,0.57,0,1.15,0,2.87,0,129.11,0,0,0.57,0,1.15
 60-70,0,0,0,2.94,0,0,148.21,0,0,0,16.69,0,0,0,0,0,0.98,0.98,0,0,11.78,0,0.98,0,870.61,0,1.96,0,0,1.96,0,1.96,0.98,122.69,0,0,1.96,0,0
 72-82,0,0,0,5.89,3.93,0,254.25,0,0,0,35.34,0.98,0,0,0.98,0.98,0.98,0,0,1.96,28.47,0,0,1.96,856.99,0,0,0.98,0,4.91,0,0,0,95.22,1.96,1.96,0,0.98,0.98
 84-94,0,2.12,0,7.43,2.12,1.06,163.55,0,0,0,21.24,0,0,0,1.06,4.25,0,0,0,2.12,18.05,0,1.06,1.06,472.61,0,0,0,0,2.12,0,2.12,0,56.29,0,0,1.06,0,0
 96-106,0,4.37,0,13.11,3.28,0,151.91,0,0,0,26.23,1.09,0,0,1.09,1.09,1.09,0,0,1.09,12.02,0,0,2.19,433.86,0,0,1.09,0,5.46,0,3.28,0,28.41,0,0,4.37,0,0
108-118,0,1.53,0,3.06,0,0,111.06,0,0.77,0.77,22.21,2.3,0,0,1.53,0,2.3,0.77,0,0.77,13.79,0.77,0,2.3,458.81,2.3,0,0,0,4.6,0,0.77,0,19.92,0,0,2.3,0,0.77
120,0,1.96,0,11.76,3.92,0,90.15,0,3.92,1.96,19.6,1.96,0,0,1.96,0,0,0,0,0,15.68,0,0,3.92,525.22,3.92,0,1.96,0,1.96,0,5.88,0,11.76,0,0,0,0,0
