stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,97.56,9.44,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,4,3,1,0,1,0,0,0,0,0,0,0,0,3,0,0,2,26,0,0,0,2,0,0,4,1,5,19,0,0,0,0
 24-34,0,0,0.82,0.82,2.46,0,8.21,0,2.46,0,0,0,0,0.82,0,0,0,8.21,0,0,2.46,76.34,0,0,0.82,0,0.82,0.82,0,0,0,18.88,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,20.95,0.81,5.64,0,0,0,0,0,0,0,0,12.09,0,0,1.61,62.04,0.81,1.61,0.81,0,0,0.81,0,0,0,15.31,0,0,0.81,0.81
 48-58,0,0,0,0,1.72,0,18.36,0.57,5.16,0,0,0,0,0,0,0,1.15,10.33,0,0,1.15,33.28,1.15,0.57,0,0,0,1.72,0,0,0,16.64,0,0,0,0.57
 60-70,0,0,0,0,0.98,0.98,39.26,1.96,6.87,0,0,0,0,0,0,0,0.98,13.74,0.98,0.98,0.98,53.98,0,2.94,0,0,0,0.98,0,0,0,8.83,0,0,0,0
 72-82,0,0,0,0,2.94,6.87,27.49,0,9.82,0,0,0,0,0,0,0,0,21.6,0,0,1.96,38.28,0,0,0,0,0.98,0.98,0,0,0,1.96,0.98,0.98,0,0
 84-94,0,0,0,0,1.06,3.19,23.36,0,5.31,1.06,0,1.06,2.12,1.06,1.06,1.06,1.06,9.56,1.06,0,0,25.49,1.06,0,1.06,0,0,5.31,0,0,0,3.19,0,0,3.19,0
 96-106,0,0,0,0,3.28,6.56,17.49,1.09,4.37,2.19,0,0,0,1.09,1.09,0,1.09,9.84,1.09,1.09,2.19,29.51,0,0,1.09,0,0,2.19,0,0,0,4.37,0,0,0,1.09
108-118,0,0,0,0,2.3,3.83,9.96,0.77,7.66,1.53,0,0,0.77,0.77,1.53,0,0,10.72,0,0,0.77,23.74,1.53,3.06,3.06,0,0,3.06,0,0,0,0,0,0,0,0
120,0,0,0,0,5.88,1.96,7.84,0,5.88,0,0,0,0,0,0,0,0,9.8,0,1.96,5.88,15.68,0,0,0,0,0,1.96,0,0,0,1.96,1.96,0,0,0
