stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,3,1,2,0,4,0,0,0,0,0,0,11,0,0,1,2,2,1,1,15,0,0
 24-34,0,0,1.64,0,1.64,0,2.46,0,0,0,0,0.82,1.64,12.31,0.82,0,0,0,1.64,0,0.82,8.21,0,0
 36-46,0,0,0,0,3.22,0,2.42,0,0,0,0,4.03,0,21.75,0,0,0,0,0,0,0,6.45,0,0.81
 48-58,0,0,0,0,5.74,0,1.72,0,0,0,0,4.59,1.15,6.31,0.57,0,0,0,0.57,0,0,5.16,0,0.57
 60-70,0,0,0,0,13.74,0,0.98,0,0,0,0,0.98,0,14.72,0.98,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,2.94,0,0,0.98,0.98,0.98,0,2.94,2.94,0.98,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,3.19,0,2.12,1.06,0,0,0,1.06,0,2.12,0,2.12,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,6.56,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,4.6,0.77,0,0,0,0,0,0.77,0,4.6,0,1.53,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,1.96,0
