stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,1,6,0,2,0
 24-34,0,5.75,0,1.64,0,0,0,0,0,1.64,0,1.64,0,2.46,0,0.82,17.24,0,0.82,0.82,0,0.82,0,0,0,5.75,0,5.75,0
 36-46,0,1.61,0,2.42,0,0,0.81,0,0,0,0,0,0,4.03,0.81,0,15.31,0,0,0,0,2.42,0,0,0,2.42,0,0.81,0
 48-58,0,0,0,2.3,0,0.57,0,0,0,0,0.57,0,0,4.02,1.15,0.57,10.9,0,0.57,0,0,0,0,0,0,1.72,0,2.3,0
 60-70,0,0,0,2.94,0.98,0,0.98,0.98,0,0,0,0,0.98,3.93,1.96,0,5.89,0.98,0,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0.98,1.96,0,4.91,0,0.98,1.96,0,0,0,0,0,0,2.94,1.96,1.96,10.8,0,0.98,0.98,0,0.98,0,0,0,0,0,1.96,0
 84-94,0,3.19,0,4.25,0,0,0,0,0,0,0,0,0,1.06,1.06,0,3.19,0,1.06,0,0,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,4.37,0,4.37,0,0,0,0,1.09,0,0,0,0,5.46,1.09,1.09,2.19,0,2.19,0,0,1.09,0,0,0,0,0,2.19,0
108-118,0,2.3,0,1.53,0,0,1.53,0.77,2.3,0,0,0.77,0,6.89,1.53,0,0.77,0,0,0,0.77,0.77,0,0,0,0.77,0,0.77,1.53
120,0,1.96,0,3.92,0,1.96,0,0,1.96,0,1.96,0,0,1.96,0,0,1.96,0,3.92,0,0,0,0,1.96,0,0,0,1.96,0
