stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,23.66,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,12.59,0,3.15,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,4,101,0,1,2,2,0,2,0,1,7,11,37,0,0,1,0
 24-34,0,0,0,2.46,1.64,0,15.6,0,0,0.82,3.28,0,0,0,3.28,4.93,0.82,0,0,4.1,11.49,0,0,2.46,213.42,0,1.64,1.64,0,0,2.46,0,2.46,1.64,5.75,53.36,0,0,0.82,1.64
 36-46,0,0,0,0.81,0,0,61.23,4.83,0,0,5.64,0,0,0,1.61,2.42,0,0,0,0,8.06,0,0,4.03,556.72,0,4.83,0,0,0,5.64,0,0.81,2.42,0,83.79,0,0,0,2.42
 48-58,0,0,0,2.87,0.57,0,120.5,0,0,0,9.18,0,0,0,1.72,0.57,1.72,1.15,0,1.15,12.62,0.57,0,3.44,604.22,0,1.15,1.72,0,0,3.44,0,0,1.72,0,86.07,0,0,2.87,1.72
 60-70,0,0,0,2.94,0,0,238.51,1.96,0,0,17.67,0,0,0.98,6.87,0.98,0.98,0,0,1.96,14.72,0,0,3.93,982.5,0.98,2.94,0.98,0,0,0.98,0,1.96,0.98,0,60.85,0.98,0,0.98,0.98
 72-82,0,0.98,0,4.91,0.98,0,223.82,0,0,1.96,28.47,2.94,0,0.98,3.93,1.96,2.94,0.98,0.98,0,29.45,0.98,0,1.96,830.49,0,1.96,1.96,0,0,2.94,0,0,0,0,39.27,0,1.96,3.93,0
 84-94,0,0,0,5.31,2.12,0,135.94,1.06,0,2.12,14.87,2.12,0,0,10.62,2.12,1.06,1.06,0,1.06,14.87,0,0,1.06,372.78,0,1.06,3.19,0,0,18.05,0,0,1.06,0,16.99,4.25,0,4.25,1.06
 96-106,0,3.28,0,7.65,1.09,0,107.1,1.09,0,0,10.93,2.19,0,0,14.21,1.09,1.09,1.09,1.09,2.19,10.93,1.09,1.09,1.09,297.25,0,4.37,4.37,0,1.09,14.21,0,0,0,0,6.56,0,0,7.65,1.09
108-118,0,0.77,0,3.83,3.06,0.77,82.72,1.53,0.77,0.77,11.49,3.06,0,0,10.72,3.06,3.83,1.53,0.77,1.53,4.6,1.53,0,0.77,349.28,0,2.3,1.53,0,0,6.89,0,0,1.53,0,7.66,0.77,0.77,1.53,1.53
120,0,0,0,9.8,1.96,1.96,56.83,0,1.96,0,3.92,9.8,0,0,9.8,1.96,0,1.96,0,0,5.88,0,0,1.96,333.16,0,1.96,0,0,0,7.84,0,0,0,0,3.92,0,0,5.88,0
