stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste
  3-4,39.53,1357.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,5.26,0,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,28.32,0,0,0,12.59,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,9,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,17,1,0,3,3,3,3,0,0,1,10,0
 24-34,0,0,0.82,0.82,0.82,0.82,0,10.67,0,0,0.82,0,0,0,0.82,2.46,0,0.82,0,3.28,0,0,68.95,0,2.46,0.82,0,0.82,0,4.1,0.82,0,13.13,0
 36-46,0,0,0,0,1.61,0,0,18.53,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,0,72.51,0,4.03,1.61,0,0.81,0,0.81,0,0,9.67,0
 48-58,0,0,0,0,1.15,0,0,23.53,0,0,2.3,0.57,0,0,0,0.57,0,0,0,0.57,1.72,0,68.86,0,1.15,1.15,0,0,0,0.57,0,0,10.33,0
 60-70,0,0,0,0,1.96,0,0,37.3,0,0,1.96,0,0,0,0,0,0,0,0,0.98,0.98,0,79.5,0,0.98,0,0,1.96,0,0.98,0,0,9.82,0
 72-82,0,0,0,0,1.96,0,0,69.7,0,0,6.87,5.89,0,0,0,0.98,0.98,0,0,2.94,2.94,0.98,94.24,0,1.96,0.98,0,0.98,0,0.98,0,0,5.89,5.89
 84-94,0,0,0,0,3.19,0,0,37.17,0,0,1.06,5.31,0,0,1.06,1.06,0,0,1.06,3.19,2.12,0,27.61,0,0,0,0,2.12,0,3.19,0,0,6.37,25.49
 96-106,0,0,5.46,0,3.28,0,0,26.23,1.09,1.09,3.28,7.65,0,0,0,0,0,2.19,0,0,4.37,0,45.9,0,1.09,0,0,3.28,0,2.19,0,0,1.09,30.6
108-118,0,0,0,0,3.83,0.77,0.77,13.79,0.77,0,5.36,5.36,0,0,0,1.53,0,0.77,0.77,1.53,3.06,0,49.79,0,0,1.53,0,0,0,1.53,0,0,1.53,39.83
120,0,0,0,1.96,1.96,0,0,11.76,0,0,5.88,1.96,0,1.96,0,1.96,0,0,0,1.96,0,0,47.03,0,7.84,0,0,1.96,0,1.96,0,0,1.96,11.76
