stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,1,5,1,0,0,0,0,0,0,0,0,0,0,4,0,1,16,0,0,0,2,0,0,4,0,13,8,0,0,0
 24-34,0,1.64,0,0.82,0,0,0.82,0,0,0,0.82,0,1.64,0,0,0,13.13,0.82,0.82,0.82,0,0,0.82,0,0,2.46,4.93,0,0,0.82
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0,2.42,0,0,17.72,1.61,0,0,0,0,0,0,0.81,0,5.64,0,0,0
 48-58,0,0.57,0,3.44,0.57,0,2.3,0,0,0,0,0,0,4.02,0,0,16.64,0,0,0.57,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,9.82,0,0,3.93,0,0,0,0,0,0,1.96,0,0,9.82,0,0,0.98,0,0,0,0,1.96,0,3.93,0,0,0
 72-82,0,0,0,7.85,0,0.98,0.98,0,0,0,0,0,0,8.83,0,0.98,10.8,0.98,0,0,0,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,1.06,7.43,0,1.06,5.31,0,1.06,0,0,0,0,6.37,0,0,7.43,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,0,0,0,2.19,0,1.09,0,1.09,0,1.09,0,0,10.93,0,1.09,1.09,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,2.3,0,9.19,0,0,0.77,1.53,0,0.77,1.53,0.77,0,11.49,0.77,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,1.96,0,5.88,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,19.6,0,0,0,0,1.96,0,0,1.96,0,1.96,1.96,0,0
