stage,blastomeres,epidermis,erythrocytes,glial,immune,mesenchyme,neural,olfactory,paraxial.mesoderm,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,0.81,0.81,0,0,0
 48-58,0,0,0,0.57,2.87,0.57,1.15,0,0,0,0
 60-70,0,0,0,0,4.91,0,0,0,0,0,0
 72-82,0,0,0,0,11.78,0,0,0,0,0.98,0
 84-94,0,0,0,0,29.74,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,27.32,0,1.09,0,0,0,0
108-118,0,0.77,0,0,27.57,0.77,0.77,0,0,0.77,0
120,0,1.96,1.96,0,33.32,0,0,0,0,1.96,0
