stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,1528.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,67.43,686.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,5.26,0,0,28.92,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,91.26,3.15,0,0,25.18,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,8,4,0,2,0,4,0,2,1,1,0,0,0,0,6,0,0,4,56,0,1,1,1,2,0,2,0,2,12,0,1,0,0
 24-34,0,0,0,4.93,0,0,14.78,0,3.28,0,0,0,4.1,0,0,0.82,0,8.21,0.82,0,5.75,123.95,0,0.82,2.46,0,2.46,0,0,0,0,27.09,0,9.03,0,0
 36-46,0,0,0,0.81,0,0,24.98,0,6.45,0,0,1.61,3.22,0,0,0,0,11.28,0,0,2.42,74.93,0.81,0,0,0,3.22,0,0.81,0,0,18.53,0,4.83,0,0
 48-58,0,0,0,2.3,0,0,19.51,0.57,3.44,0.57,0,1.15,2.87,0,0,0.57,0.57,10.9,0,0,5.74,31.56,1.15,0,0,0,0.57,0,0,0,0,5.74,0,4.59,0,0.57
 60-70,0,0,0,3.93,0,0,14.72,0,10.8,0,0,0,10.8,0,0,0,0,12.76,0,1.96,1.96,29.45,0.98,0.98,0.98,0,0.98,0,0,0.98,0,4.91,0,4.91,0,0
 72-82,0,0,0,0.98,0,0,7.85,0,9.82,0.98,0,1.96,4.91,0.98,0,0.98,0,24.54,0,0.98,0,18.65,0,0,0,0,0,0,0,0,0,1.96,0,8.83,0.98,0
 84-94,0,0,0,5.31,0,0,7.43,0,6.37,1.06,0,0,13.81,1.06,1.06,1.06,0,9.56,0,1.06,1.06,12.74,1.06,0,0,0,1.06,0,0,0,0,0,0,9.56,3.19,0
 96-106,0,0,0,0,1.09,1.09,10.93,0,5.46,0,0,1.09,17.49,0,1.09,0,0,6.56,0,1.09,3.28,13.11,0,0,0,0,1.09,0,0,0,0,0,0,7.65,2.19,0
108-118,0,0,0,1.53,0,0,6.13,0,12.26,0.77,0,0.77,16.09,0.77,0,0,0,9.19,0,0,0,12.26,0,0,0.77,0,0.77,0,0,0,0,0.77,0.77,5.36,0,0
120,0,0,0,3.92,1.96,0,7.84,0,11.76,3.92,0,0,5.88,0,0,0,0,3.92,0,1.96,1.96,9.8,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0
