stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,79,0,0,1,0,0,0,37,0,0,0
 24-34,0,0,0,0.82,2.46,0.82,0,4.93,0,0.82,0,0.82,0,0,0,232.3,4.1,0.82,0.82,0,0,0,83.73,0,0,0
 36-46,0,0,0.81,0,1.61,0,0,54.79,0,0,0,0.81,2.42,0,0,287.62,4.83,0,1.61,0,0,0,99.9,0,1.61,0
 48-58,0,0,0.57,0,3.44,0,0,86.07,0,0,0,1.15,4.02,0,0,145.75,2.87,0,1.15,0,0,0,60.25,0,2.3,0
 60-70,0,0,0,0,5.89,0,0,115.82,0,0,0.98,0,9.82,0,0,94.23,3.93,0.98,1.96,0,0,0,32.39,0,0.98,0
 72-82,0,0,0.98,0,15.71,0,0.98,93.26,0.98,0,0,1.96,10.8,0,0,90.31,2.94,0,0.98,0,0,0,11.78,0,2.94,0.98
 84-94,0,0,1.06,1.06,10.62,0,0,66.91,1.06,1.06,0,0,6.37,0,1.06,56.29,4.25,2.12,2.12,0,0,0,7.43,1.06,1.06,0
 96-106,0,0,1.09,0,5.46,3.28,0,40.44,1.09,0,1.09,1.09,9.84,0,0,43.71,3.28,1.09,2.19,0,1.09,0,4.37,0,1.09,0
108-118,0,0,0.77,0,1.53,1.53,0,39.06,0,0,0.77,0.77,9.96,0,0,45.96,5.36,0.77,1.53,0,0,0,1.53,0,1.53,0
120,0,0,0,0,11.76,0,0,29.4,1.96,0,0,0,9.8,0,0,41.16,0,0,1.96,0,1.96,1.96,1.96,0,1.96,0
