stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,1,0,0,0,0,0,0,21,0,0,0,0,0
 24-34,0,0.82,4.93,1.64,0,2.46,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,96.04,26.27,0,0,0.82,0,0,1.64,64.03,0,0,5.75,0,0
 36-46,0,1.61,0.81,0,0,6.45,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,0,151.47,37.87,0,0,3.22,0,0,0,118.43,0,0,0,0,0
 48-58,0,1.72,1.15,0,0,37.3,0,0,0,9.18,0.57,0.57,0,0,0,1.15,0,0,9.18,0,1.15,0.57,244.44,24.1,0.57,0,0.57,0,0,0,210.01,0,0,0.57,0,0
 60-70,0,0,1.96,0.98,0,85.39,0,0,0,15.7,0,0.98,1.96,0.98,0.98,2.94,0,0,16.69,0,1.96,2.94,617.38,28.46,1.96,0,1.96,0,0,0,324.88,0,0.98,0.98,0,0.98
 72-82,0,3.93,7.85,3.93,0,161.97,0,0,0.98,59.88,0.98,0,0,0,1.96,11.78,0.98,0.98,34.36,0,2.94,2.94,850.12,54.97,0,0,5.89,0,0,0,305.3,0.98,3.93,1.96,1.96,1.96
 84-94,0,0,6.37,3.19,0,103.02,2.12,0,0,52.04,2.12,0,3.19,0,1.06,9.56,1.06,1.06,20.18,0,4.25,1.06,458.8,37.17,3.19,0,8.5,0,0,0,165.68,1.06,3.19,0,3.19,1.06
 96-106,0,0,14.21,7.65,0,108.19,2.19,1.09,1.09,65.57,1.09,1.09,2.19,1.09,3.28,7.65,0,1.09,26.23,1.09,1.09,1.09,441.51,60.11,0,0,2.19,1.09,0,0,102.73,3.28,1.09,0,3.28,2.19
108-118,0,0.77,8.43,0.77,0.77,102.64,0.77,2.3,0,72.77,1.53,0,0.77,0,4.6,12.26,0,0,20.68,0,0.77,1.53,690.9,34.47,0,0,1.53,0,0.77,0,91.92,5.36,0.77,1.53,1.53,0
120,0,1.96,5.88,1.96,0,94.07,0,5.88,3.92,84.27,0,0,0,1.96,1.96,9.8,0,1.96,9.8,0,0,1.96,591.86,21.56,0,0,1.96,0,0,0,123.47,0,7.84,0,1.96,0
