stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0
 24-34,0,61.56,0,1.64,0,4.93,0,0,0.82,3.28,0,0,0.82,0,0,4.93,0,0.82,44.33,0,0.82,0,0,0
 36-46,0,46.73,0,1.61,0,6.45,0,0,1.61,8.86,0,0,0.81,2.42,0,3.22,0,0,61.23,0,0.81,0,0,0
 48-58,0,48.77,0.57,2.3,0,10.9,0.57,0,0.57,10.9,0,0,3.44,1.72,0,16.64,0,0,80.33,0,2.3,0,0.57,0
 60-70,0,45.15,0,3.93,0,9.82,0,0,0.98,20.61,0.98,0,0,0.98,0,5.89,0,0,71.65,0,0,0,0,0
 72-82,0.98,77.55,0,4.91,0.98,10.8,2.94,1.96,2.94,33.38,0,0,1.96,0.98,0,7.85,0.98,0,62.83,0,0,0,0,0
 84-94,0,156.12,0,2.12,0,29.74,0,0,4.25,32.92,0,0,0,2.12,0,2.12,0,0,189.04,1.06,0,0,0,0
 96-106,0,165.02,0,4.37,0,24.04,2.19,0,3.28,20.76,2.19,1.09,4.37,2.19,0,4.37,0,1.09,146.44,1.09,0,0,0,0
108-118,1.53,174.64,0,2.3,0,32.94,0.77,3.06,5.36,44.43,1.53,0,0,1.53,0.77,5.36,0,0.77,136.34,0,0,0,0,0.77
120,0,146.98,0,0,0,19.6,0,1.96,1.96,21.56,0,0,0,3.92,0,0,0,0,117.59,0,0,1.96,1.96,0
