stage,endocrine.pancreas,erythrocytes,eye,immune,iridophores,melanocytes,mesenchyme,neural,paraxial.mesoderm,periderm,vasculature
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,1,0,0,0,0,0,3,0,0,0
 24-34,0,0.82,0.82,3.28,0,0,0.82,3.28,0,0,0
 36-46,0,0,0.81,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,2.87,0,0,1.15,2.87,0,0,0
 60-70,0,0,0,3.93,0,0,0,1.96,0,0,0
 72-82,0,0,0.98,4.91,0,0,0.98,0,0,0,0
 84-94,0,0,0,13.81,0,0,1.06,3.19,0,0,1.06
 96-106,1.09,0,0,10.93,0,0,0,1.09,0,0,0
108-118,0,0,0,6.13,0.77,0.77,0,0,0,0.77,0
120,0,0,0,15.68,0,0,1.96,1.96,0,0,0
