stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,6.57,0,0,0,120.67,0,0.82,0,0,0,0,0
 36-46,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,7.25,0,0,0,109.57,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,1.72,0,2.3,0,0,0,0,0.57,0,0,1.15,1.72,0.57,1.72,10.9,0,0,0,284.03,0,1.72,0,0,0,0,0
 60-70,0,5.89,0,0,6.87,0,9.82,0,0.98,0,0,1.96,0,0,3.93,0,0,0,11.78,0,0,0,406.35,0,0.98,0,0,0.98,0,0.98
 72-82,0,47.12,0.98,0,19.63,0,22.58,0,2.94,0.98,0,10.8,0,0,11.78,7.85,0,2.94,39.27,0.98,0,0,739.19,0,1.96,1.96,0,3.93,0,0
 84-94,0,112.58,2.12,0,7.43,0,73.28,0,5.31,2.12,3.19,47.79,0,0,8.5,15.93,1.06,1.06,16.99,0,0,0,2554.2,0,1.06,1.06,0,2.12,1.06,0
 96-106,1.09,196.71,3.28,1.09,40.44,1.09,98.36,1.09,12.02,4.37,5.46,63.39,3.28,1.09,12.02,30.6,2.19,3.28,71.04,0,2.19,1.09,2494.97,1.09,3.28,1.09,0,1.09,2.19,1.09
108-118,0.77,179.24,2.3,0.77,14.55,0,142.47,0.77,9.19,4.6,2.3,89.62,0.77,2.3,8.43,55.15,0,0,48.26,0,0,0,2427.34,0,2.3,1.53,1.53,0.77,1.53,1.53
120,0,127.39,0,0,9.8,0,86.23,1.96,5.88,5.88,0,25.48,0,0,7.84,21.56,0,3.92,45.08,0,0,0,1520.79,0,0,0,0,0,0,0
