stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,52.71,1475.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.98,0,0,0,0,0,0,0
  5-6,49.04,1912.45,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.46,0,0,6.13,275.83,0,0,0,0,0,0,0
  7-9,0,26.29,0,365.39,0,0,36.8,0,0,0,2.63,0,0,0,0,0,0,0,0,0,1004.17,10.51,0,236.58,7.89,5.26,0,0,0,0,0,0
 10-12,0,15.73,0,107,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,286.37,6.29,0,81.82,6.29,3.15,0,22.03,0,0,0,0
 14-21,0,0,1,5,16,2,8,0,1,2,0,0,0,1,0,18,1,14,0,3,67,0,3,3,1,1,17,0,1,9,44,1
 24-34,0,0,0.82,0.82,1.64,0,4.93,0,0,0,0,0,0,0,0,5.75,0.82,6.57,0,1.64,54.18,0,1.64,0,0.82,0,0,0,0,0,18.88,0
 36-46,0,0,0,0,0,0,42.7,0,0.81,0,0,0,0,0,0,0,0,2.42,0.81,0.81,43.51,0,0,0,0,0,0,0,0,0,10.47,0
 48-58,0,0,0.57,0,0,0,33.85,0,0.57,0,0,0,0,0,0,0,0,4.02,0.57,0.57,17.21,0,0,0,0,0,0,0,0,0,5.74,0.57
 60-70,0,0,0.98,0,0,0,37.3,0,1.96,0,0,0,0,0,0,0,0,0.98,0.98,1.96,9.82,0,0,0,0,0,0,0,0,0,3.93,0
 72-82,0,0,0.98,0,0,0,15.71,0,0,0,0,0,0,0,0,0,0,2.94,1.96,0,4.91,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,1.06,0,1.06,0,19.12,0,0,0,0,0,1.06,0,0,0,0,3.19,0,0,5.31,0,1.06,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,0,26.23,0,1.09,0,0,1.09,0,0,0,0,0,2.19,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,9.19,0.77,1.53,0,0,0,0,0,0.77,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0.77,0,0.77,0.77
120,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
