stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,7.89,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.89,7.89,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,16,0,0,1,9,1,0,0,0,0,0,3,0,1,1,6,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,2.46,0,0,17.24,0,0,1.64,0,0.82,0,0,0,0,115.74,0,0,39.4,37.76,0,0,0,0,0,0.82,0.82,0,1.64,5.75,7.39,0,0,2.46,0,0.82
 36-46,0,0,0,0,1.61,0,0,4.83,0,1.61,61.23,0.81,0.81,1.61,0.81,0,0,0,0.81,0.81,249.76,0,0,72.51,38.67,0,0,0,0,0,1.61,0,0,1.61,0,9.67,0,0,0.81,0,2.42
 48-58,0,0,0,0,1.72,0,0,6.31,0,4.59,103.86,1.72,0,0.57,0,1.15,0,0,6.89,1.15,320.76,0,0,58.53,28.69,0,0,0,0,0,0,0,0,1.15,0,9.75,0,0,0,0.57,6.89
 60-70,0,0,0,0,3.93,0,0,13.74,0.98,8.83,137.41,0.98,0,0,0,1.96,0,0,30.43,0,492.72,0.98,0,34.35,39.26,0,0,1.96,0,0,0,0,0,0.98,0,3.93,0,0.98,0.98,0,8.83
 72-82,0,0,0,0,4.91,0.98,1.96,70.68,0,5.89,244.43,12.76,2.94,0,0.98,7.85,0,0,126.63,1.96,1072.96,1.96,0.98,77.55,76.57,0,1.96,1.96,0,0.98,2.94,0,3.93,2.94,0,6.87,0,3.93,0,3.93,2.94
 84-94,0,0,0,0,9.56,3.19,7.43,84.96,0,5.31,168.86,10.62,2.12,0,1.06,7.43,2.12,1.06,452.43,1.06,802.9,2.12,1.06,54.16,41.42,0,0,0,0,0,4.25,0,4.25,1.06,0,3.19,1.06,2.12,1.06,4.25,4.25
 96-106,0,0,1.09,1.09,52.46,7.65,6.56,115.84,4.37,9.84,183.6,31.69,5.46,2.19,10.93,21.86,1.09,0,714.72,1.09,1371.52,3.28,4.37,81.96,209.83,0,4.37,2.19,0,1.09,8.74,0,21.86,6.56,0,13.11,2.19,3.28,8.74,9.84,0
108-118,0.77,0,0,0,30.64,3.83,11.49,51.32,2.3,8.43,175.41,14.55,1.53,0.77,4.6,10.72,0.77,1.53,1421.63,6.13,1412.44,0,3.06,81.19,148.6,0.77,4.6,4.6,0,0.77,6.13,0,26.81,2.3,0,10.72,0,3.06,3.06,1.53,5.36
120,0,0,0,0,41.16,3.92,3.92,47.03,0,3.92,180.3,11.76,3.92,5.88,1.96,17.64,0,0,732.96,1.96,1450.24,1.96,3.92,99.95,135.23,0,5.88,0,0,1.96,1.96,0,21.56,3.92,0,5.88,0,0,3.92,1.96,1.96
