stage,blastomeres,epidermis,eye,glial,gut,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,1,0,3,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0.82,3.28,0,0,4.1,0,0,0,0.82,0.82,0,0
 36-46,0,0,2.42,0,0,0.81,0,0,0,0,0,0,0,7.25,0,0,3.22,0,0,0,0,0,0,0
 48-58,0,0,1.72,0,0,0,0,0,0.57,0,0,0,0,5.16,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,2.94,0,0,0,0,0,0,0,0,0,0,3.93,0,0,3.93,0,0,0,0,0,0,0
 72-82,0,1.96,3.93,0,0,0,0,0,0,0,0.98,0.98,0.98,0.98,0,0,6.87,0,0,0,0,0,2.94,0
 84-94,0,4.25,2.12,0,0,1.06,1.06,1.06,2.12,2.12,0,0,0,4.25,1.06,0,6.37,0,0,0,0,0,0,0
 96-106,0,15.3,0,0,3.28,0,0,0,1.09,0,0,0,0,1.09,0,0,5.46,0,1.09,0,0,0,3.28,0
108-118,0,6.13,0,0,0.77,0,0,0,0.77,2.3,0,0.77,0,3.83,0,0,2.3,0,0,0,0,0,5.36,0.77
120,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,1.96,0
