stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,232.93,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,6.13,0,0,18.39,0,190.02,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,15.77,144.58,0,5.26,76.23,0,0,0,0,0,86.75,0,0,0,0,0,0,0,0,0,0,0,312.82,5.26,0,0,383.79,0,44.69,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,22.03,81.82,0,22.03,151.05,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,1110.88,53.5,0,0,154.2,0,3.15,0,0,34.62,0,6.29,0,0,0,0,0,0
 14-21,0,0,5,159,55,11,0,0,0,15,9,0,15,0,6,0,2,0,1,59,1,0,37,188,27,10,6,4,0,9,1,29,0,63,101,176,0,0,11,0,0
 24-34,0,0,0,14.78,4.1,5.75,0.82,0,1.64,9.85,2.46,0,9.85,0.82,4.93,0,9.03,0.82,3.28,60.74,1.64,0,22.16,102.61,6.57,0.82,4.93,0,0,7.39,0,0,0.82,13.13,19.7,132.98,0,0,37.76,0,3.28
 36-46,0,0,0,4.03,0,8.06,0,0.81,9.67,7.25,0.81,0,5.64,1.61,0.81,0,4.03,0,0,52.37,1.61,0.81,13.7,59.62,4.03,1.61,0.81,0,0,2.42,0,0,1.61,12.89,0,94.26,0,0,20.95,0,1.61
 48-58,0,0,0,3.44,0.57,15.49,1.72,1.15,6.89,8.61,0,0,4.02,0.57,0,1.72,1.15,1.15,0,90.66,4.59,0.57,10.33,40.17,1.72,0.57,0.57,0,0,2.87,0,0,0,2.87,0,60.82,0,0,8.03,0.57,0.57
 60-70,0,0,0,3.93,0.98,14.72,0,0,1.96,12.76,0,0,3.93,0.98,3.93,0.98,0.98,0,0,128.58,5.89,0,2.94,42.21,0,0,0.98,0,0,1.96,0,0,0,1.96,0,9.82,0.98,1.96,0.98,0,1.96
 72-82,0,0,0,9.82,1.96,26.5,0.98,0.98,5.89,15.71,1.96,0,5.89,0.98,1.96,0.98,0.98,0.98,0,229.71,6.87,0.98,11.78,40.25,2.94,0.98,0.98,0,0.98,1.96,0,0,0,0,0,3.93,0,0.98,6.87,6.87,0
 84-94,1.06,0,0,11.68,1.06,24.43,3.19,2.12,6.37,11.68,9.56,0,4.25,3.19,8.5,8.5,2.12,0,0,125.32,5.31,1.06,1.06,40.36,2.12,0,0,0,0,5.31,0,0,0,3.19,0,4.25,1.06,2.12,6.37,2.12,1.06
 96-106,0,0,0,18.58,0,16.39,0,0,3.28,16.39,6.56,0,13.11,2.19,7.65,6.56,0,0,0,112.56,10.93,3.28,5.46,27.32,0,1.09,1.09,0,1.09,2.19,0,0,1.09,1.09,0,3.28,3.28,3.28,5.46,2.19,0
108-118,0,0,0,30.64,0.77,30.64,0.77,0.77,7.66,7.66,12.26,0,2.3,4.6,7.66,6.89,0,0,0,95.75,4.6,1.53,5.36,23.74,0.77,0,1.53,0,0,5.36,0,0,0,0,0,2.3,1.53,2.3,1.53,1.53,1.53
120,0,0,0,13.72,0,23.52,0,0,3.92,7.84,9.8,0,7.84,5.88,7.84,3.92,0,0,0,86.23,7.84,0,7.84,19.6,0,0,0,0,0,5.88,0,0,1.96,0,0,1.96,0,0,0,1.96,0
