stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,30.65,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,18.39,0,0,0,0,0,0
  7-9,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,4,7,0,5,0,0,0,0,0,1,0,1,18,3,0,0,0,0,1,2,1,25,0,0
 24-34,0,0,0,0,0.82,11.49,0,11.49,0,0,0,0,0,3.28,0,0.82,40.22,4.93,0.82,0,0,0,0,2.46,0,36.94,0,0
 36-46,0,0,0,0,0,5.64,0,23.36,0,0,0,0,0,2.42,0,0,43.51,5.64,0,0,0,0,0,3.22,0,27.39,0,0
 48-58,0,0,0,0,0,13.2,0,21.23,0,0,0,0.57,0.57,1.15,0,0,25.25,6.31,1.15,0,0,0,0,1.15,0,27.54,0.57,0
 60-70,0,0,0,0,0.98,7.85,0,24.54,0,0,0,0,0,3.93,0,0.98,29.45,7.85,2.94,0,0,0,0,2.94,0,18.65,0,0
 72-82,0,0,0,0,0,8.83,0,49.08,0,0,0,2.94,0,1.96,0,0.98,15.71,8.83,1.96,0,0,0,0,0,0,15.71,0,0
 84-94,0,0,0,0,0,13.81,0,21.24,1.06,1.06,0,3.19,0,0,0,0,6.37,6.37,8.5,0,0,0,0,3.19,0,8.5,0,0
 96-106,0,0,0,0,0,5.46,1.09,19.67,1.09,1.09,1.09,5.46,0,4.37,1.09,1.09,8.74,20.76,8.74,0,1.09,0,0,0,0,7.65,0,1.09
108-118,0,0,0.77,0,1.53,3.06,0,20.68,0,0,0,3.83,0,3.06,0.77,0.77,13.79,6.89,6.13,0,0,0,0,0.77,0,4.6,0,0
120,0,0,0,0,0,5.88,0,17.64,0,0,0,3.92,0,1.96,0,0,15.68,9.8,1.96,0,0,0,0,1.96,0,3.92,0,1.96
