stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,lateral.line,mesenchyme,mural.cell,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,taste,vascular.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.72,0,0.57,0,0,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,3.93,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,26.5,0,0.98,0,0,1.96,0,3.93,0.98,0,0,0.98,0.98,12.76,0,0.98
 84-94,0,2.12,12.74,0,0,0,0,0,0,1.06,0,0,0,0,0,49.92,0,0
 96-106,0,2.19,26.23,1.09,1.09,1.09,1.09,0,1.09,4.37,0,0,0,0,0,126.77,0,0
108-118,0,0.77,15.32,0,0,0,0,0.77,0,0.77,0,0,0,0,0,128.68,0,0
120,0,0,13.72,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,41.16,1.96,0
