stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1344.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,484.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,23.66,0,2.63,31.54,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,252.36,5.26,0,0,131.44,0,2.63,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,3.15,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.88,0,0,0,97.56,0,0,6.29,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,36,15,8,0,0,5,3,0,0,0,2,0,0,2,3,29,0,0,14,164,5,0,1,6,0,6,0,29,0,6,24,38,0,0,9,0,3
 24-34,0.82,0,0,1.64,4.93,1.64,22.98,0,0,0.82,0,0,0.82,1.64,1.64,2.46,0,0,1.64,17.24,0,0,6.57,130.52,1.64,0,1.64,0,0,9.03,0,0,0,0,0.82,24.63,0,0,14.78,0,0.82
 36-46,0,0,0,0,4.03,0,35.45,0,0,2.42,1.61,0,0,4.03,0,1.61,0,0.81,0.81,24.17,0,0,7.25,58.81,0,0.81,0,0,0,5.64,0,0,0.81,0,0,6.45,0,0,11.28,0,4.03
 48-58,0,0,0,0,0,0,24.1,0,0.57,2.3,0,0,1.15,2.3,0,0.57,0.57,0,1.15,17.21,0.57,0.57,6.89,21.8,0,0,0,0,0,4.02,0.57,0,0,0.57,0,1.72,0,0,6.31,0,2.87
 60-70,0,0,0,0,1.96,1.96,25.52,0.98,0,2.94,0,0,0,1.96,0.98,2.94,0,0,0,13.74,0,0,1.96,20.61,0,0,0,0,0,3.93,0,0,0,0,0,2.94,0,0.98,8.83,0,0
 72-82,0,0,0,0,2.94,4.91,14.72,0,0,5.89,0.98,0,3.93,9.82,0.98,0.98,0.98,0.98,0,19.63,0,0.98,2.94,20.61,0,0,0.98,0,0,1.96,0,0,0,0,0,3.93,0.98,0.98,10.8,0,0.98
 84-94,0,0,0,0,3.19,2.12,21.24,0,1.06,3.19,2.12,0,1.06,14.87,2.12,3.19,0,0,1.06,32.92,0,2.12,0,9.56,0,0,2.12,0,0,15.93,0,0,1.06,0,0,1.06,2.12,0,8.5,1.06,6.37
 96-106,0,0,0,0,5.46,6.56,17.49,2.19,0,6.56,5.46,0,1.09,20.76,1.09,3.28,1.09,1.09,1.09,24.04,3.28,1.09,1.09,17.49,0,0,0,0,1.09,17.49,1.09,0,1.09,0,0,2.19,2.19,0,21.86,0,5.46
108-118,0,0,0.77,0,11.49,9.19,19.15,2.3,0.77,8.43,3.06,0,1.53,19.92,0.77,6.13,0,1.53,0,26.81,0,0,0.77,22.21,0.77,0.77,0.77,0,0.77,13.02,0,0,0,0,0,2.3,0.77,0.77,8.43,0,9.19
120,0,0,0,0,3.92,7.84,13.72,1.96,1.96,7.84,0,0,1.96,9.8,0,3.92,0,0,0,9.8,0,0,1.96,21.56,0,0,0,0,0,7.84,0,0,0,0,0,0,0,1.96,19.6,1.96,1.96
