stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,1,0,2,0,0,0,0,3,0,0,0,0,10,0,0,2,47,0,0,1,0,0,1,3,0,1,1,12,0,1,0,0
 24-34,0,0,0.82,6.57,0,0,4.1,0.82,0,4.1,0,0,0,0,0,1.64,18.88,0,0,7.39,60.74,0,0,0,0,0,0,0,0.82,0,0,16.42,0,3.28,0,0.82
 36-46,0,0,0,1.61,0,0,7.25,0,0.81,13.7,0,0,3.22,0,0,1.61,32.23,0,1.61,9.67,38.67,0,2.42,0,0,0.81,0,0,0,0,0,11.28,0,4.83,0,0
 48-58,0,0,0,1.72,0,0,11.48,0.57,2.3,14.35,0,0,0.57,0,0.57,0.57,52.79,0,1.72,5.16,14.92,0,0.57,0,0,0,0,0,0,0,0,8.03,0,2.3,0,1.15
 60-70,0,0,0,3.93,0,0,8.83,0.98,0.98,26.5,0,0,0.98,0,0,1.96,53,0,4.91,8.83,12.76,0,1.96,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0.98,0
 72-82,0,0,0,5.89,1.96,0,19.63,0.98,0.98,20.61,0,0,0,0,1.96,2.94,63.81,0,5.89,7.85,10.8,0,1.96,0,0.98,0.98,0,0,0.98,0,0,3.93,3.93,2.94,1.96,1.96
 84-94,0,0,0,2.12,0,0,19.12,0,1.06,11.68,1.06,0,1.06,0,1.06,0,58.41,0,2.12,4.25,14.87,0,2.12,0,1.06,1.06,0,0,0,0,0,2.12,1.06,1.06,0,0
 96-106,0,0,0,5.46,1.09,0,5.46,0,1.09,13.11,0,0,0,1.09,1.09,3.28,36.06,1.09,3.28,1.09,4.37,1.09,4.37,0,2.19,1.09,0,0,0,0,0,4.37,2.19,6.56,1.09,2.19
108-118,0,0,0,4.6,0,0.77,4.6,1.53,0,11.49,0,0,0.77,0,0,1.53,27.57,0.77,1.53,4.6,8.43,0.77,3.83,0,1.53,0.77,0,0,0,0,0,0.77,0,3.06,1.53,0
120,0,0,0,3.92,1.96,0,1.96,3.92,0,3.92,0,0,1.96,0,0,0,29.4,0,1.96,0,9.8,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0
