stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,0,0,10,0,0,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0,0,0,2.46,0,9.85,0,0,0,0,0,0,0,0,0.82,2.46,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0,5.64,0,0,0.81,0,4.03,0,19.34,0.81,0.81,0,0.81,0,0.81,0,0.81,0,4.83,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,2.3,1.72,0,0,0.57,0,0,2.3,0,0,0,0,1.72,1.72,16.64,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,4.91,3.93,0.98,0,0,0,0,5.89,0,0,0,0,3.93,0.98,23.56,0,0,0.98,0,0,0,0,2.94,0,2.94,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,5.89,0.98,0.98,2.94,0,0,0.98,0,0,0,0,4.91,0.98,15.71,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,0,0,2.12,9.56,0,0,0,0,1.06,3.19,1.06,1.06,0,0,4.25,1.06,9.56,0,0,0,0,0,0,0,1.06,0,1.06,1.06,0,0,0
 96-106,0,0,1.09,0,5.46,2.19,7.65,6.56,0,0,2.19,1.09,0,9.84,1.09,0,0,1.09,1.09,0,9.84,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,2.3,1.53,0.77,8.43,0,0,0.77,0.77,0,6.89,0,0,0.77,0.77,1.53,0,9.96,0,0,0.77,0,0,0,0,0,0,0.77,0,0,0,1.53
120,0,0,0,0,5.88,0,1.96,5.88,0,0,0,1.96,0,3.92,0,0,0,0,1.96,3.92,5.88,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0
