stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,15.73,0,0,3.15,0,0,0
 14-21,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,3,2,0
 24-34,0,0,0,4.1,0,0,0.82,0,0,0,0,2.46,0,0,0.82,0.82,0,0,10.67,0,0,0.82,0,0,0,0,0,4.93,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0.81,0,1.61,0,0,0.81,0,0,0.81,8.86,0,0,0,0,0,0.81,0,0,1.61,0
 48-58,0,0,0,0.57,3.44,0,0,0,0,0,0,1.15,0,0.57,0,0,0,0,6.89,0.57,0,0.57,0,0,0,0,0,1.72,0
 60-70,0,0,0,0.98,5.89,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0,0,7.85,0,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,3.19,0,1.06,1.06,0,0,0,0,0,0,2.12,0,0,1.06,2.12,0,2.12,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,2.19,2.19,1.09,1.09,0,0,0,1.09,1.09,1.09,0,1.09,0,0,0,5.46,0,1.09,1.09,0,1.09,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0.77,3.06,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,3.92,7.84,0,0,0,0,0,1.96,0,0,0,0
