stage,epidermis,erythrocytes,eye,gut,heart,immune,mesenchyme,mural.cell,neural,paraxial.mesoderm,presomitic.mesoderm,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,1,0,0,0,1,2,0,0,0,1,0,1
 24-34,0,0,0,0,0,4.93,0,0,0.82,0,0,0,9.03
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,4.83
 48-58,0,0,0,0,0,7.46,0,0,0.57,0,0,0,4.02
 60-70,0,0,0,0,0,7.85,0,0,1.96,0,0,0,7.85
 72-82,0,0,0,0,1.96,9.82,1.96,0.98,0,0,0,0.98,9.82
 84-94,0,0,0,0,0,22.3,0,0,1.06,0,0,1.06,13.81
 96-106,0,1.09,0,0,1.09,26.23,1.09,2.19,1.09,0,0,0,7.65
108-118,0,0,1.53,0.77,0.77,18.38,0,0,0,0,0,2.3,9.19
120,1.96,0,0,0,0,9.8,0,0,0,0,0,1.96,3.92
