stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,3,1,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,55,0,0,1,0,0,0,5,0,0,8,17,0,0,1,0,0
 24-34,0,0,0,0,3.28,0,15.6,0,0.82,0,0.82,0.82,0,0,0,0,0,0,0.82,7.39,0,0,5.75,147.75,0.82,1.64,0.82,0,0,1.64,0,0,0,1.64,40.22,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,32.23,0,0,0,7.25,0,0,0,0,0,0.81,0.81,0.81,12.89,0,0,4.83,175.64,0,0,4.03,0,0,2.42,0,0.81,0,0,40.28,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0.57,41.31,0.57,0,1.15,7.46,0,0,0,0,0,0,0,0,14.92,0,0,2.87,130.25,0,0,0.57,0,0,2.3,0,0,0,0,28.12,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,52.02,0,0.98,1.96,11.78,0,0,0,0,0,0,0,0,16.69,0,1.96,2.94,157.04,0.98,0,0,0,0,1.96,0,0,0,0,24.54,0,2.94,1.96,0,0
 72-82,0,0,0,0.98,2.94,0,65.77,0,0,0,8.83,0,0,0,0,0,0,0,0,27.49,0,0,0,136.45,0,1.96,1.96,0,0.98,3.93,0,0,0,0,10.8,0.98,0.98,0,0.98,0.98
 84-94,0,0,0,0,6.37,0,33.99,0,2.12,0,4.25,1.06,0,1.06,0,0,0,0,0,18.05,0,1.06,2.12,62.66,0,0,2.12,0,0,6.37,0,0,0,0,6.37,1.06,0,1.06,1.06,0
 96-106,0,0,0,0,0,0,18.58,0,0,0,5.46,0,0,0,1.09,1.09,0,0,0,19.67,1.09,0,0,44.81,0,0,1.09,0,1.09,2.19,0,0,1.09,0,1.09,0,0,3.28,1.09,0
108-118,0,0,0,0,2.3,0,14.55,0,2.3,0,6.89,1.53,0,0.77,0.77,0,0,0,0,7.66,0,0.77,1.53,55.15,0.77,0,0.77,0,0,3.83,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,3.92,0,29.4,0,0,0,9.8,0,0,0,0,0,0,0,0,11.76,0,0,3.92,56.83,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,3.92,0,0
