stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,250.38,5930.07,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0
  5-6,373.91,3831.02,12.26,0,0,0,0,0,18.39,0,0,79.69,6.13,0,30.65,98.07,0,0,0,0,0,0
  7-9,44.69,36.8,102.52,0,0,115.66,0,0,81.49,0,0,1353.79,49.95,0,549.4,5.26,10.51,0,0,0,0,0
 10-12,0,22.03,31.47,0,0,69.23,0,0,9.44,0,0,427.99,15.73,0,182.52,0,0,0,15.73,0,3.15,0
 14-21,0,0,3,32,6,21,0,6,0,9,8,85,6,0,3,2,0,24,2,1,18,23
 24-34,0,0,0,0.82,0.82,4.1,0,0,0,0.82,0,6.57,0,0.82,0,0,0.82,0,0,0,0.82,2.46
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
