stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2,8,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,34,1,1,0,0,4,2,1,0,8,9,0,0,0,0,0
 24-34,0,0.82,0,9.03,0,0,30.37,0,0.82,0,3.28,1.64,0,0.82,0,0.82,1.64,1.64,0.82,0,24.63,0,0,7.39,227.38,2.46,3.28,4.1,0,18.88,0,1.64,0,3.28,53.36,0,0,13.13,0,0.82
 36-46,0,0,0,5.64,0,0,77.34,0,1.61,1.61,5.64,0,0,0.81,1.61,0,0.81,0.81,0,0.81,34.64,0.81,1.61,6.45,276.34,7.25,6.45,4.03,0,27.39,0,0.81,0,0.81,66.06,0,0,3.22,0,0.81
 48-58,0,0,0,8.03,1.15,0,85.5,0.57,1.15,4.59,17.21,0,0.57,1.72,0.57,1.15,0,1.15,0,1.72,47.05,1.72,1.72,10.9,210.59,1.72,2.3,2.3,0,13.77,0,0.57,1.15,0,40.74,0,0,6.31,0,0.57
 60-70,0,0,0,16.69,1.96,0,105.02,2.94,1.96,1.96,15.7,0,0,2.94,2.94,0.98,1.96,3.93,0.98,0.98,78.52,0,2.94,8.83,226.73,1.96,5.89,0.98,0.98,18.65,0,0,0,0,34.35,0.98,0.98,5.89,0,0.98
 72-82,0,0.98,0,11.78,7.85,0,96.2,0.98,1.96,2.94,44.17,3.93,0,0.98,2.94,0,0.98,4.91,0,0.98,120.74,0.98,2.94,12.76,247.38,0,18.65,9.82,0,20.61,0,2.94,0,0,35.34,1.96,0.98,20.61,3.93,0
 84-94,1.06,0,0,20.18,5.31,0,83.9,1.06,5.31,4.25,30.8,8.5,0,2.12,4.25,1.06,1.06,2.12,2.12,2.12,53.1,1.06,6.37,1.06,87.09,3.19,3.19,2.12,0,55.23,0,1.06,0,0,6.37,2.12,1.06,15.93,4.25,3.19
 96-106,0,0,0,19.67,8.74,0,39.34,1.09,1.09,1.09,21.86,3.28,0,0,6.56,0,3.28,5.46,0,3.28,56.83,6.56,3.28,4.37,102.73,1.09,9.84,6.56,0,45.9,0,0,1.09,0,6.56,2.19,0,9.84,2.19,1.09
108-118,0,0.77,0.77,26.81,6.13,6.13,48.26,1.53,2.3,2.3,26.81,2.3,0,1.53,7.66,3.83,2.3,2.3,2.3,0,52.85,8.43,2.3,7.66,91.15,1.53,6.89,9.96,0.77,29.87,0,1.53,0,0,3.83,2.3,0,9.19,0.77,2.3
120,0,0,0,48.99,9.8,0,62.71,0,7.84,1.96,31.36,11.76,0,0,7.84,3.92,1.96,9.8,0,0,68.59,1.96,7.84,7.84,178.34,1.96,1.96,15.68,1.96,43.12,1.96,3.92,0,0,7.84,5.88,0,13.72,3.92,0
