stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,1,3,8,0,0,0,1,1,2,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,6.57,0,0,0,0,1.64,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,1.72,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,1.96,3.93,0,0,0,0,0,0,1.96,0.98,0
 72-82,0,0,0,0,0.98,0,0,0,0.98,0,4.91,0,0,0,0,0,0,0,0,0
 84-94,0,2.12,0,2.12,0,0,0,0,3.19,0,0,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,1.09,1.09,2.19,1.09,0,0,0,1.09,1.09,2.19,1.09,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,0.77,0,0.77,0,1.53,0,3.06,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
