stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,1.64,0,0,0,0,0,37.76,2.46,0.82,0,0,0,4.93,0,0,0
 36-46,0.81,0,2.42,0,0,15.31,0,0.81,0,0.81,0,0,0,37.06,2.42,0,0,0,0,16.11,0,0,0
 48-58,0,0,5.16,0,0,74.59,0,0,0,0.57,0.57,0,0,69.43,1.72,0,0,0,0,36.15,0,0,0
 60-70,0,0,6.87,0,0,148.21,0,0,0,3.93,0,0,0,56.93,1.96,0,0,0,0,23.56,0,0,0
 72-82,2.94,0.98,18.65,0,0,251.31,0,0.98,0.98,3.93,0,0.98,0,53.01,8.83,0,0,0,0,7.85,0,0,0
 84-94,0,0,10.62,0,0,131.69,0,1.06,0,2.12,0,0,1.06,19.12,3.19,0,0,0,0,9.56,0,1.06,0
 96-106,4.37,0,7.65,0,1.09,159.56,0,0,0,0,0,0,0,29.51,2.19,0,0,1.09,0,6.56,1.09,0,0
108-118,0,0,2.3,0,0,124.09,0.77,0,0,1.53,0,0,0,25.28,2.3,0.77,0,0,0,7.66,0,0.77,0
120,0,0,13.72,1.96,0,148.94,0,0,0,5.88,0,0,0,41.16,3.92,0,0,0,0,1.96,0,0,1.96
