stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,muscle,neural,otic,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,12,0,0,3
 24-34,0,0,1.64,0.82,0.82,0.82,0,1.64,0,28.73,0,0,12.31
 36-46,0,0,0,0,3.22,1.61,0,0,0,33.84,0,0,12.09
 48-58,0,0,0,0,2.3,0.57,0,1.15,0,28.69,0,0,9.75
 60-70,0,0,0,0,9.82,3.93,0.98,0,0,43.19,0,0,12.76
 72-82,0,0,0,0,15.71,4.91,0,0,0,59.88,0.98,0,4.91
 84-94,0,0,1.06,0,12.74,6.37,0,2.12,0,23.36,0,0,0
 96-106,0,0,0,0,9.84,4.37,0,1.09,0,28.41,0,0,1.09
108-118,0,0,0,0,8.43,1.53,0,0.77,0.77,15.32,0,0.77,0.77
120,0,0,0,0,5.88,0,0,0,0,11.76,0,0,1.96
