stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,4,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,7.39,0.82,0,0,1.64,0,4.93,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,7.25,0,0,0,0.81,0,7.25,0,0
 48-58,0,0,0.57,0,1.72,0,0,0,0,0,0,0.57,0,1.15,0,0,13.77,0.57,0,0,0.57,0,10.33,0,0
 60-70,0,0,0,0,2.94,0,0,0.98,0,0.98,0,0,0.98,3.93,0,0,16.69,0,0.98,0,0.98,0,9.82,0,0.98
 72-82,0,0,0.98,0,2.94,0,0.98,3.93,0.98,0,0.98,0,0,7.85,0.98,0,14.72,0,0,0,0,0,6.87,0,0
 84-94,0,0,1.06,0,3.19,0,0,0,0,1.06,2.12,0,0,2.12,0,0,9.56,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,0,1.09,0,0,0,0,0,0,0,1.09,2.19,0,0,4.37,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0.77,1.53,0.77,0.77,0,0,0.77,0,0.77,1.53,0.77,0,5.36,0,0.77,0.77,0.77,0,0.77,0.77,0
120,0,0,3.92,0,3.92,0,0,1.96,0,1.96,3.92,0,3.92,1.96,0,1.96,5.88,0,0,0,1.96,0,0,0,0
