stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,2.46,0,0,1.64,0,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,3.93,0,0,2.94,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,1.96,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0,1.06,0,0,1.06,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,1.96,0,0,1.96,0
