stage,axial,blastomeres,endoderm,epidermis,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,65.89,0,0,0,0,0,0,0,0,26.36,0
  5-6,12.26,147.11,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,0,23.66,5.26,10.51,0,0
 10-12,0,0,0,0,0,0,0,9.44,3.15,0,0,0
 14-21,0,0,0,0,0,0,2,4,37,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.1,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,3.93,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0,3.06,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0
