stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,1,0,1,0,0,82,0,0,0,0,0
 24-34,1.64,1.64,0,0,1.64,0.82,0,0.82,0,0,0,0,0,0,0.82,0,3.28,0,0,3.28,489.23,0,7.39,0,0,0,229.02,0,0,2.46,0,0.82
 36-46,0.81,3.22,0,0,22.56,0.81,0,4.03,0,0,0,0.81,0,0,0,0,4.03,0,0,0,1158.55,0,8.06,0,0,0,333.55,0,0,0.81,0,0.81
 48-58,0,1.72,1.15,0,169.85,0.57,0,15.49,0.57,0.57,0,0,0,0,0,0,11.48,0,1.72,2.87,1637.07,1.72,5.16,0,3.44,0,339.12,0,0,1.72,0,1.15
 60-70,0.98,0.98,0,0,566.34,0.98,0.98,27.48,0,0,0,0,0,0.98,0.98,0.98,12.76,0.98,0.98,3.93,2111.25,0,4.91,1.96,0.98,0,337.64,0,0,1.96,0.98,0
 72-82,2.94,14.72,3.93,0,961.05,0.98,0.98,50.06,0.98,1.96,0.98,0,1.96,0,0.98,0.98,41.23,0.98,7.85,5.89,1925.04,0,13.74,4.91,0.98,0,196.33,0.98,1.96,2.94,3.93,0
 84-94,1.06,18.05,1.06,0,560.76,0,0,47.79,2.12,0,1.06,2.12,2.12,0,0,0,22.3,0,4.25,1.06,1011.06,0,8.5,6.37,3.19,1.06,108.33,0,3.19,2.12,3.19,1.06
 96-106,1.09,18.58,3.28,1.09,498.34,0,0,42.62,0,1.09,4.37,0,1.09,0,0,0,19.67,0,4.37,2.19,842.58,0,15.3,2.19,7.65,2.19,41.53,3.28,0,1.09,7.65,3.28
108-118,3.06,13.02,1.53,1.53,356.17,0,1.53,22.98,0.77,0,1.53,0,0.77,0,0.77,0,9.96,0.77,2.3,1.53,953.62,0,10.72,4.6,0.77,2.3,31.4,0.77,0.77,1.53,6.13,0
120,3.92,15.68,1.96,3.92,313.57,0,0,31.36,0,0,1.96,1.96,0,0,0,0,9.8,0,1.96,1.96,1050.45,0,5.88,1.96,11.76,0,27.44,1.96,0,0,3.92,0
